method,variant,bridge,omitted_component,is_primary_cost,n_seeds,seeds,mean_macro_edge_f1,std_macro_edge_f1,mean_precision,std_precision,mean_recall,std_recall,baseline_primary_cost_f1,delta_f1_vs_primary_cost,baseline_full_d6_f1,delta_f1_vs_full_d6,per_seed_f1_json,per_seed_delta_vs_primary_json,n_seeds_with_negative_delta,n_seeds_with_positive_delta
CONDITIONAL_UOT_D4,FULL_D6,Celer,none,False,5,"201,202,203,204,205",0.23757311513647528,0.005649731589538076,0.14735793805630762,0.002712332644677087,0.6180555555555556,0.023677398779489326,0.3190860215053763,-0.08151290636890102,0.23757311513647528,0.0,"{""201"": 0.23697669352389875, ""202"": 0.237987303710452, ""203"": 0.24440484084880634, ""204"": 0.22884604316137716, ""205"": 0.23965069443784218}","{""201"": -0.08291577959438076, ""202"": -0.07652882532180602, ""203"": -0.07414354624796785, ""204"": -0.09239051597840778, ""205"": -0.08158586470194276}",5,0
CONDITIONAL_UOT_D4,FULL_D6,Multi,none,False,5,"201,202,203,204,205",0.18538541676650414,0.006462101478974128,0.11678893704174445,0.0038972245165618704,0.4541666666666666,0.019081432866714047,0.3029753176930596,-0.11758990092655544,0.18538541676650414,0.0,"{""201"": 0.18282676017874033, ""202"": 0.1899317033181049, ""203"": 0.17714733511079292, ""204"": 0.18339109602058015, ""205"": 0.19363018920430233}","{""201"": -0.11799649250943167, ""202"": -0.12298832356361547, ""203"": -0.1318244390827554, ""204"": -0.09576640642321257, ""205"": -0.11937384305376217}",5,0
CONDITIONAL_UOT_D4,FULL_D6,Poly,none,False,5,"201,202,203,204,205",0.242969867600002,0.004587156579124912,0.14974487947501441,0.002459899712921644,0.6444444444444445,0.01780677972910846,0.3166666666666666,-0.0736967990666646,0.24296986760000197,2.7755575615628914e-17,"{""201"": 0.2451957614942529, ""202"": 0.24479166666666666, ""203"": 0.24739583333333334, ""204"": 0.24192708333333335, ""205"": 0.2355389931724237}","{""201"": -0.07066445355951048, ""202"": -0.07106854838709672, ""203"": -0.07115255376344085, ""204"": -0.07527721774193541, ""205"": -0.08032122188133975}",5,0
CONDITIONAL_UOT_D4,LOCO_AMOUNT,Celer,amount,True,5,"201,202,203,204,205",0.31908602150537635,0.002787156095877398,0.1978333333333333,0.0017280367794439485,0.8243055555555555,0.007200153247683254,0.3190860215053763,5.551115123125783e-17,0.23757311513647528,0.08151290636890107,"{""201"": 0.3198924731182795, ""202"": 0.314516129032258, ""203"": 0.3185483870967742, ""204"": 0.32123655913978494, ""205"": 0.32123655913978494}","{""201"": 0.0, ""202"": 0.0, ""203"": 0.0, ""204"": 0.0, ""205"": 0.0}",0,0
CONDITIONAL_UOT_D4,LOCO_AMOUNT,Multi,amount,True,5,"201,202,203,204,205",0.3029753176930596,0.014206948601556742,0.1893333333333333,0.008114844080106808,0.7736111111111111,0.03892917060603876,0.3029753176930596,0.0,0.18538541676650414,0.11758990092655544,"{""201"": 0.300823252688172, ""202"": 0.3129200268817204, ""203"": 0.3089717741935483, ""204"": 0.2791575024437927, ""205"": 0.3130040322580645}","{""201"": 0.0, ""202"": 0.0, ""203"": 0.0, ""204"": 0.0, ""205"": 0.0}",0,0
CONDITIONAL_UOT_D4,LOCO_AMOUNT,Poly,amount,True,5,"201,202,203,204,205",0.31666666666666665,0.0012021870846773176,0.1963333333333333,0.0007453559924999425,0.8180555555555555,0.003105649968749647,0.3166666666666666,5.551115123125783e-17,0.24296986760000197,0.07369679906666468,"{""201"": 0.3158602150537634, ""202"": 0.3158602150537634, ""203"": 0.3185483870967742, ""204"": 0.31720430107526876, ""205"": 0.31586021505376344}","{""201"": 0.0, ""202"": 0.0, ""203"": 0.0, ""204"": 0.0, ""205"": 0.0}",0,0
CONDITIONAL_UOT_D4,LOCO_EVIDENCE,Celer,evidence,False,5,"201,202,203,204,205",0.23871217068575823,0.003059502055759783,0.14805128627411238,0.0015746610987583363,0.6201388888888888,0.01711632992203643,0.3190860215053763,-0.08037385081961806,0.23757311513647528,0.0011390555492829524,"{""201"": 0.23933164883874003, ""202"": 0.23820851786815808, ""203"": 0.24350685234305924, ""204"": 0.2353190258533221, ""205"": 0.23719480852551164}","{""201"": -0.08056082427953948, ""202"": -0.07630761116409993, ""203"": -0.07504153475371494, ""204"": -0.08591753328646284, ""205"": -0.0840417506142733}",5,0
CONDITIONAL_UOT_D4,LOCO_EVIDENCE,Multi,evidence,False,5,"201,202,203,204,205",0.1840081449606311,0.008062852138307913,0.11592893020075937,0.004888025574630284,0.4506944444444444,0.02295346372366447,0.3029753176930596,-0.11896717273242849,0.18538541676650414,-0.0013772718058730482,"{""201"": 0.18163870713185107, ""202"": 0.18862961998477157, ""203"": 0.17442075035295812, ""204"": 0.1801179072261525, ""205"": 0.1952337401074222}","{""201"": -0.11918454555632094, ""202"": -0.12429040689694881, ""203"": -0.1345510238405902, ""204"": -0.09903959521764022, ""205"": -0.1177702921506423}",5,0
CONDITIONAL_UOT_D4,LOCO_EVIDENCE,Poly,evidence,False,5,"201,202,203,204,205",0.24447824178300853,0.004447145408168841,0.15066444601958096,0.0023607020630647874,0.648611111111111,0.01760248868838412,0.3166666666666666,-0.07218842488365806,0.24296986760000197,0.0015083741830065611,"{""201"": 0.2451957614942529, ""202"": 0.24869791666666666, ""203"": 0.24609375, ""204"": 0.2454861111111111, ""205"": 0.23691766964301195}","{""201"": -0.07066445355951048, ""202"": -0.06716229838709672, ""203"": -0.07245463709677419, ""204"": -0.07171818996415766, ""205"": -0.07894254541075149}",5,0
CONDITIONAL_UOT_D4,LOCO_NOVELTY,Celer,novelty,False,5,"201,202,203,204,205",0.23665281311312986,0.005032590299517293,0.14695795629491284,0.002588317269313236,0.6124999999999999,0.023240556292613193,0.3190860215053763,-0.08243320839224644,0.23757311513647528,-0.0009203020233454207,"{""201"": 0.23617476773623514, ""202"": 0.2428918601984161, ""203"": 0.24000469717064546, ""204"": 0.2299288654031771, ""205"": 0.2342638750571755}","{""201"": -0.08371770538204437, ""202"": -0.0716242688338419, ""203"": -0.07854368992612873, ""204"": -0.09130769373660783, ""205"": -0.08697268408260944}",5,0
CONDITIONAL_UOT_D4,LOCO_NOVELTY,Multi,novelty,False,5,"201,202,203,204,205",0.17827096366348516,0.008752327098241789,0.11257692950477809,0.005302678695624189,0.4333333333333333,0.02496621946145493,0.3029753176930596,-0.12470435402957442,0.18538541676650414,-0.007114453103018975,"{""201"": 0.1693615689474548, ""202"": 0.18603077107665542, ""203"": 0.17295243937618907, ""204"": 0.17383638011129202, ""205"": 0.1891736588058345}","{""201"": -0.1314616837407172, ""202"": -0.12688925580506497, ""203"": -0.13601933481735926, ""204"": -0.10532112233250071, ""205"": -0.12383037345223}",5,0
CONDITIONAL_UOT_D4,LOCO_NOVELTY,Poly,novelty,False,5,"201,202,203,204,205",0.24462310720043984,0.003293868746136769,0.15077883947636572,0.0016618363012854502,0.648611111111111,0.014400306495366466,0.3166666666666666,-0.07204355946622676,0.24296986760000197,0.0016532396004378669,"{""201"": 0.2451957614942529, ""202"": 0.24739583333333334, ""203"": 0.24739583333333334, ""204"": 0.24368286466885603, ""205"": 0.2394452431724237}","{""201"": -0.07066445355951048, ""202"": -0.06846438172043004, ""203"": -0.07115255376344085, ""204"": -0.07352143640641273, ""205"": -0.07641497188133975}",5,0
CONDITIONAL_UOT_D4,LOCO_RISK,Celer,risk,False,5,"201,202,203,204,205",0.23564723273387322,0.006378015033717375,0.1462419382798219,0.0032729203258467627,0.6097222222222222,0.027842805828790895,0.3190860215053763,-0.08343878877150307,0.23757311513647528,-0.0019258824026020527,"{""201"": 0.23407691147454077, ""202"": 0.24224666596480868, ""203"": 0.24040879199823165, ""204"": 0.2259510218310682, ""205"": 0.23555277240071684}","{""201"": -0.08581556164373874, ""202"": -0.07226946306744933, ""203"": -0.07813959509854254, ""204"": -0.09528553730871675, ""205"": -0.0856837867390681}",5,0
CONDITIONAL_UOT_D4,LOCO_RISK,Multi,risk,False,5,"201,202,203,204,205",0.18059211341710837,0.006830785896767809,0.11387325171392146,0.004114826294230671,0.4409722222222222,0.019794712241304496,0.3029753176930596,-0.1223832042759512,0.18538541676650414,-0.004793303349395761,"{""201"": 0.17528788169876988, ""202"": 0.18540914154877589, ""203"": 0.1740527395323611, ""204"": 0.17828088056553715, ""205"": 0.18992992374009776}","{""201"": -0.12553537098940212, ""202"": -0.1275108853329445, ""203"": -0.1349190346611872, ""204"": -0.10087662187825558, ""205"": -0.12307410851796674}",5,0
CONDITIONAL_UOT_D4,LOCO_RISK,Poly,risk,False,5,"201,202,203,204,205",0.242528797232461,0.006353250666828965,0.14944263542277036,0.0035633395312738847,0.6437499999999999,0.02217877697593235,0.3166666666666666,-0.07413786943420558,0.24296986760000197,-0.00044107036754095774,"{""201"": 0.2451957614942529, ""202"": 0.24479166666666666, ""203"": 0.24609375, ""204"": 0.24536773989898988, ""205"": 0.23119506810239568}","{""201"": -0.07066445355951048, ""202"": -0.07106854838709672, ""203"": -0.07245463709677419, ""204"": -0.07183656117627887, ""205"": -0.08466514695136776}",5,0
CONDITIONAL_UOT_D4,LOCO_ROUTE,Celer,route,False,5,"201,202,203,204,205",0.2327116260260298,0.0064994199751358265,0.14459382250670613,0.003313208988449659,0.6006944444444444,0.027993950514925474,0.3190860215053763,-0.0863743954793465,0.23757311513647528,-0.004861489110445483,"{""201"": 0.22926866895078102, ""202"": 0.2403698321219525, ""203"": 0.23840558687002653, ""204"": 0.2248458052086102, ""205"": 0.23066823697877878}","{""201"": -0.09062380416749849, ""202"": -0.0741462969103055, ""203"": -0.08014280022674766, ""204"": -0.09639075393117474, ""205"": -0.09056832216100616}",5,0
