bridge,seed,k,epsilon,lambda,method,delta_s_total,delta_t_total,delta_total,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,precision,recall,macro_edge_f1,sinkhorn_iterations,sinkhorn_converged,run_id
Celer,201,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7311479969340773,0.7311479969340773,1.4622959938681546,0.7311479969340773,0.7311479969340773,0.2688520030659228,0.2688520030659228,0.1975,0.8229166666666666,0.3185483870967742,33,True,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7311479969340773,0.7311479969340773,1.4622959938681546,0.7311479969340773,0.7311479969340773,0.2688520030659228,0.2688520030659228,0.14312500000000003,0.5937499999999999,0.23061414392059554,33,True,2026-09-17T03:14:30Z__pid29540
Celer,201,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.45632293034733695,0.45632293034733684,0.9126458606946738,0.45632293034733695,0.45632293034733684,0.5436770696526633,0.5436770696526633,0.19499999999999998,0.8125,0.314516129032258,70,True,2026-09-17T03:14:31Z__pid29540
Celer,201,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.45632293034733695,0.45632293034733684,0.9126458606946738,0.45632293034733695,0.45632293034733684,0.5436770696526633,0.5436770696526633,0.14922697368421053,0.6145833333333333,0.2399706744868035,70,True,2026-09-17T03:14:31Z__pid29540
Celer,201,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.2752745780594206,0.2752745780594205,0.5505491561188411,0.2752745780594206,0.2752745780594205,0.7247254219405795,0.7247254219405795,0.19833333333333333,0.8263888888888888,0.3198924731182795,131,True,2026-09-17T03:14:29Z__pid29540
Celer,201,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.2752745780594206,0.2752745780594205,0.5505491561188411,0.2752745780594206,0.2752745780594205,0.7247254219405795,0.7247254219405795,0.14979166666666668,0.6215277777777777,0.24136683209263854,131,True,2026-09-17T03:14:29Z__pid29540
Celer,201,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.15270822155224534,0.15270822155224512,0.30541644310449045,0.15270822155224534,0.15270822155224512,0.8472917784477549,0.8472917784477549,0.1975,0.8229166666666666,0.31854838709677413,249,True,2026-09-17T03:14:31Z__pid29540
Celer,201,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.15270822155224534,0.15270822155224512,0.30541644310449045,0.15270822155224534,0.15270822155224512,0.8472917784477549,0.8472917784477549,0.14979166666666668,0.6215277777777777,0.24136683209263854,249,True,2026-09-17T03:14:31Z__pid29540
Celer,201,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.08067483127913819,0.08067483127913827,0.16134966255827646,0.08067483127913819,0.08067483127913827,0.9193251687208621,0.9193251687208621,0.19666666666666666,0.8194444444444443,0.31720430107526876,477,True,2026-09-17T03:14:31Z__pid29540
Celer,201,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.08067483127913819,0.08067483127913827,0.16134966255827646,0.08067483127913819,0.08067483127913827,0.9193251687208621,0.9193251687208621,0.14958333333333332,0.6180555555555555,0.24079818031430933,477,True,2026-09-17T03:14:31Z__pid29540
Celer,202,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.6341033441316588,0.6341033441316586,1.2682066882633174,0.6341033441316588,0.6341033441316586,0.3658966558683412,0.36589665586834125,0.1975,0.8229166666666666,0.3185483870967742,32,True,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.6341033441316588,0.6341033441316586,1.2682066882633174,0.6341033441316588,0.6341033441316586,0.3658966558683412,0.36589665586834125,0.13427083333333334,0.5451388888888888,0.21509605985412436,32,True,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.3670761106432917,0.36707611064329215,0.7341522212865839,0.3670761106432917,0.36707611064329215,0.6329238893567083,0.6329238893567084,0.19833333333333333,0.8263888888888888,0.31989247311827956,69,True,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.3670761106432917,0.36707611064329215,0.7341522212865839,0.3670761106432917,0.36707611064329215,0.6329238893567083,0.6329238893567084,0.14239583333333333,0.5868055555555555,0.2290256786224528,69,True,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.21315069497760644,0.2131506949776065,0.42630138995521294,0.21315069497760644,0.2131506949776065,0.7868493050223935,0.7868493050223937,0.19500000000000003,0.8125,0.314516129032258,129,True,2026-09-17T03:14:32Z__pid29540
Celer,202,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.21315069497760644,0.2131506949776065,0.42630138995521294,0.21315069497760644,0.2131506949776065,0.7868493050223935,0.7868493050223937,0.14312500000000003,0.59375,0.23061414392059554,129,True,2026-09-17T03:14:32Z__pid29540
Celer,202,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.1155809768522116,0.11558097685221173,0.23116195370442333,0.1155809768522116,0.11558097685221173,0.8844190231477885,0.8844190231477888,0.19666666666666668,0.8194444444444443,0.3172043010752688,245,True,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.1155809768522116,0.11558097685221173,0.23116195370442333,0.1155809768522116,0.11558097685221173,0.8844190231477885,0.8844190231477888,0.14312500000000003,0.59375,0.23061414392059554,245,True,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.060288593618523977,0.0602885936185243,0.12057718723704827,0.060288593618523977,0.0602885936185243,0.9397114063814761,0.9397114063814763,0.19833333333333333,0.8263888888888888,0.31989247311827956,471,True,2026-09-17T03:14:34Z__pid29540
Celer,202,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.060288593618523977,0.0602885936185243,0.12057718723704827,0.060288593618523977,0.0602885936185243,0.9397114063814761,0.9397114063814763,0.14333333333333334,0.5972222222222222,0.23118279569892472,471,True,2026-09-17T03:14:34Z__pid29540
Celer,203,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.759780754911594,0.7597807549115938,1.5195615098231878,0.759780754911594,0.7597807549115938,0.24021924508840625,0.24021924508840625,0.19833333333333333,0.8263888888888888,0.3198924731182795,33,True,2026-09-17T03:14:37Z__pid29540
Celer,203,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.759780754911594,0.7597807549115938,1.5195615098231878,0.759780754911594,0.7597807549115938,0.24021924508840625,0.24021924508840625,0.15979166666666667,0.6631944444444443,0.25749586435070304,33,True,2026-09-17T03:14:37Z__pid29540
Celer,203,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.4806593792694477,0.4806593792694479,0.9613187585388956,0.4806593792694477,0.4806593792694479,0.5193406207305524,0.5193406207305524,0.19916666666666663,0.8298611111111112,0.32123655913978494,70,True,2026-09-17T03:14:37Z__pid29540
