sweep,parameter,parameter_value,method,k,epsilon,lambda,n_bridges,n_seeds,n_cells,seeds,macro_edge_f1_mean_of_cells,macro_edge_f1_std_of_cells,precision_mean_of_cells,recall_mean_of_cells,micro_edge_f1_mean_of_cells,mean_n_pred_edges,mean_sinkhorn_iterations,max_sinkhorn_final_residual,n_converged_cells,all_converged,mean_delta_s_total,mean_delta_t_total,mean_delta_total,mean_transport_mass_total,mean_mass_retained_fraction,mean_macro_edge_f1_Celer,std_macro_edge_f1_Celer,mean_precision_Celer,std_precision_Celer,mean_recall_Celer,std_recall_Celer,n_seeds_Celer,mean_macro_edge_f1_Multi,std_macro_edge_f1_Multi,mean_precision_Multi,std_precision_Multi,mean_recall_Multi,std_recall_Multi,n_seeds_Multi,mean_macro_edge_f1_Poly,std_macro_edge_f1_Poly,mean_precision_Poly,std_precision_Poly,mean_recall_Poly,std_recall_Poly,n_seeds_Poly,std_over_seeds_macro_edge_f1
epsilon,epsilon,0.01,CONDITIONAL_UOT_D4,5.0,0.01,0.5,3,5,15,"201,202,203,204,205",0.3135696684587813,0.007083862038142356,0.19453418803418807,0.8092592592592595,0.3144276733568452,1194.4666666666667,630.4,9.97595477131987e-12,15,True,0.2451079651547646,0.2431844999910246,0.4882924651457893,0.7569868894168247,0.7569868894168247,0.31666666666666665,0.007337281754815165,0.1963333333333333,0.004549114687985375,0.8180555555555555,0.018954644533272454,5,0.3139112903225806,0.007655190135311824,0.195,0.004658474953124556,0.8083333333333333,0.02045371732642107,5,0.3101310483870967,0.006023367082714027,0.19226923076923078,0.003742898162322527,0.8013888888888889,0.015411347931369493,5,0.0032811744387385836
epsilon,epsilon,0.01,RAW_UOT_PLAN_D4,5.0,0.01,0.5,3,5,15,"201,202,203,204,205",0.2503299010302405,0.011807184319814123,0.15636756993006998,0.6388888888888888,0.2547571468578445,1155.4,630.4,9.97595477131987e-12,15,True,0.2451079651547646,0.2431844999910246,0.4882924651457893,0.7569868894168247,0.7569868894168247,0.25635386119257086,0.0030166243635455763,0.15966666666666668,0.0012638125740085972,0.6597222222222221,0.010702107644043378,5,0.2365713257691186,0.011048535330160052,0.14943604312354314,0.007278304054851038,0.5902777777777778,0.028315115330382095,5,0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,5,0.011945935710101493
epsilon,epsilon,0.02,CONDITIONAL_UOT_D4,5.0,0.02,0.5,3,5,15,"201,202,203,204,205",0.3143610421836227,0.007937685296171282,0.19516666666666665,0.8101851851851851,0.3161191288203878,1188.0,319.53333333333336,9.913131380507663e-12,15,True,0.2587910306932847,0.25732372561171557,0.5161147563050003,0.7426827573823752,0.7426827573823753,0.3200992555831265,0.0019022300964613565,0.19849999999999998,0.0012360330811826044,0.826388888888889,0.0042525863589986035,5,0.30766129032258066,0.010776550722848964,0.1915,0.006316314853879066,0.7895833333333334,0.03042903097250926,5,0.3153225806451613,0.0015324938509396855,0.19549999999999998,0.0009501461875826174,0.8145833333333332,0.003958942448260848,5,0.006274485007982733
epsilon,epsilon,0.02,RAW_UOT_PLAN_D4,5.0,0.02,0.5,3,5,15,"201,202,203,204,205",0.24549472579248538,0.018147498643382946,0.15357525766716942,0.6263888888888888,0.25453091971934944,1127.6666666666667,319.53333333333336,9.913131380507663e-12,15,True,0.2587910306932847,0.25732372561171557,0.5161147563050003,0.7426827573823752,0.7426827573823753,0.25592243777727647,0.0031167684694367514,0.15947916666666667,0.0013420936173671961,0.6576388888888889,0.011410886614690969,5,0.22249722347114761,0.012182747212571754,0.14124660633484162,0.008116597776908709,0.554861111111111,0.031861304852651255,5,0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,5,0.019945198913052232
epsilon,epsilon,0.05,CONDITIONAL_UOT_D4,5.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.3129093352883675,0.010687014858812245,0.19450000000000003,0.8053240740740738,0.3155896555077505,1181.3333333333333,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.31908602150537635,0.002787156095877398,0.1978333333333333,0.0017280367794439485,0.8243055555555555,0.007200153247683254,5,0.3029753176930596,0.014206948601556742,0.1893333333333333,0.008114844080106808,0.7736111111111111,0.03892917060603876,5,0.31666666666666665,0.0012021870846773176,0.1963333333333333,0.0007453559924999425,0.8180555555555555,0.003105649968749647,5,0.008687741285674453
epsilon,epsilon,0.05,RAW_UOT_PLAN_D4,5.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.23742822838252942,0.022851113025261306,0.1485115740740741,0.6050925925925925,0.25226057435490484,1090.4666666666667,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.243631100082713,0.009971252218018438,0.15116666666666667,0.006130099917619604,0.6277777777777777,0.02648920989272312,5,0.21058906893584312,0.015727057117227394,0.1343680555555556,0.010008026292820073,0.5208333333333333,0.044398305043556956,5,0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,5,0.024337958717711432
epsilon,epsilon,0.1,CONDITIONAL_UOT_D4,5.0,0.1,0.5,3,5,15,"201,202,203,204,205",0.31322804659498205,0.011271294019075648,0.19438888888888886,0.8078703703703703,0.3161591604818224,1183.3333333333333,68.86666666666666,9.414271678289007e-12,15,True,0.3363476709473623,0.3363476709473623,0.6726953418947245,0.6636523290526377,0.6636523290526379,0.31854838709677413,0.0009504123403045182,0.1975,0.0005892556509887934,0.8229166666666666,0.0024552318791199873,5,0.30285618279569887,0.015457149039321322,0.18833333333333335,0.009274928870646694,0.7784722222222222,0.042127085800286436,5,0.3182795698924731,0.0017524737648394288,0.19733333333333336,0.001086533734200425,0.8222222222222222,0.00452722389250184,5,0.008983303104954871
epsilon,epsilon,0.1,RAW_UOT_PLAN_D4,5.0,0.1,0.5,3,5,15,"201,202,203,204,205",0.14821221826432848,0.04942185953485575,0.09445500060941238,0.3641203703703703,0.20680001924166902,672.5333333333333,68.86666666666666,9.414271678289007e-12,15,True,0.3363476709473623,0.3363476709473623,0.6726953418947245,0.6636523290526377,0.6636523290526379,0.14316055248514922,0.07917830459208679,0.09171527777777778,0.05024445690282538,0.35,0.19689980002529203,5,0.12628059888652637,0.025526665804690894,0.08267055738379268,0.015514423098665527,0.29375,0.06925320891081109,5,0.17519550342130985,0.00920543032582064,0.10897916666666667,0.00595091685863055,0.44861111111111107,0.02117770928052349,5,0.024845652874701092
epsilon,epsilon,0.2,CONDITIONAL_UOT_D4,5.0,0.2,0.5,3,5,15,"201,202,203,204,205",0.31520497311827955,0.010253435433329804,0.19558333333333333,0.8131944444444444,0.3175503114392754,1186.6666666666667,37.333333333333336,9.788684458577203e-12,15,True,0.34774622963764157,0.34774622963764146,0.6954924592752831,0.6522537703623585,0.6522537703623585,0.3212365591397849,0.001344086021505403,0.19916666666666666,0.0008333333333333248,0.829861111111111,0.0034722222222222376,5,0.3069052419354839,0.015002499440984687,0.19075000000000003,0.009220485947666264,0.7895833333333333,0.039635078264238906,5,0.31747311827956987,0.001752473764839416,0.19683333333333333,0.0010865337342004506,0.820138888888889,0.004527223892501802,5,0.0074300084156807816
epsilon,epsilon,0.2,RAW_UOT_PLAN_D4,5.0,0.2,0.5,3,5,15,"201,202,203,204,205",0.040663030219481824,0.02771795610660749,0.026300925925925926,0.09421296296296296,0.10475716433409224,183.93333333333334,37.333333333333336,9.788684458577203e-12,15,True,0.34774622963764157,0.34774622963764146,0.6954924592752831,0.6522537703623585,0.6522537703623585,0.04799796977216332,0.030558423170890803,0.030750000000000006,0.019545952799322253,0.1125,0.0725686137645174,5,0.03324169110459433,0.010869387973313617,0.022166666666666668,0.0070919065764354855,0.07291666666666666,0.02405626121623441,5,0.04074942978168784,0.038741846228744915,0.02598611111111111,0.024933851047277866,0.09722222222222222,0.08987624378850545,5,0.007378518732916517
