bridge,seed,r6_cost_matrix_sha256,r6_source_marginal_sha256,r5_reference_cost_sha256,r5_reference_source,r5_reference_file_sha256,cost_hash_match,frozen_c_primary_array_sha256,frozen_artifact_path,frozen_artifact_match,r5_reference_marginal_match,frozen_plan_path,frozen_plan_array_sha256,fresh_solve_plan_sha256,fresh_solve_equals_frozen_plan,solver_converged,solver_final_residual
Celer,201,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,619df6a2845d33b5bdd990a8627d9165cd221412122c0ff9db9bf064436e10fc,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_201\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_201\uot_primary.npz,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,True,True,8.959816442786158e-12
Celer,202,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,4c2b6e9cf63d7aee122c964866de8c0403729fa88a6f4fe7b62dd19c512ffba2,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_202\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_202\uot_primary.npz,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,True,True,9.213377826959381e-12
Celer,203,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,96a3a38421691aa864b58b50e042377e226654721db5ffeb5ef10db6709e83b9,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_203\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_203\uot_primary.npz,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,True,True,9.353701809358153e-12
Celer,204,501bc61bbca2ddbb4a53c96a48f4e98b0cf7fa3a135cafc0415aa0dc98d8d526,3cca186e0f0c9cd26bb2ef69e683262feba83157e19163e45769b5007b722430,501bc61bbca2ddbb4a53c96a48f4e98b0cf7fa3a135cafc0415aa0dc98d8d526,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,501bc61bbca2ddbb4a53c96a48f4e98b0cf7fa3a135cafc0415aa0dc98d8d526,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_204\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_204\uot_primary.npz,b0c169193f2632426317bc8343f1b8e220366cd9976f582f2b6af1d36430f96a,b0c169193f2632426317bc8343f1b8e220366cd9976f582f2b6af1d36430f96a,True,True,9.391658796299128e-12
Celer,205,85b1d10550ace12bea66d53f11f72ccd933b2b8cf6589b275b723084a34911df,ace31bc7ae6d55715c4b6e87b4b26f659b79b79f2e14272a1917ad119f93685c,85b1d10550ace12bea66d53f11f72ccd933b2b8cf6589b275b723084a34911df,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,85b1d10550ace12bea66d53f11f72ccd933b2b8cf6589b275b723084a34911df,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_205\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Celer\seed_205\uot_primary.npz,c5a93789961548991eed147d7e728fcad973a19dc91ce0c9f6d61f3de6592616,c5a93789961548991eed147d7e728fcad973a19dc91ce0c9f6d61f3de6592616,True,True,9.530252470201754e-12
Multi,201,d0c238fb506e9b381a78416a2744ed345fe5f529c9dfaef82397ed9c6a076859,4577d1885c1a9edb9c5cac94322a8f756abac1a9ade82b66adfbe6cd00a26f96,d0c238fb506e9b381a78416a2744ed345fe5f529c9dfaef82397ed9c6a076859,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,d0c238fb506e9b381a78416a2744ed345fe5f529c9dfaef82397ed9c6a076859,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_201\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_201\uot_primary.npz,b847def74767f706a2d514834184291fc3f722e59475902e58ff208164b35074,b847def74767f706a2d514834184291fc3f722e59475902e58ff208164b35074,True,True,8.986215706814507e-12
Multi,202,2449cc29aceca3dac262b69c83a7dff5a5168995096b96740abc065ca3ce8d05,8e50c44752c971e6964a4e163daf785b55894a8beab274996ad183a253a783ec,2449cc29aceca3dac262b69c83a7dff5a5168995096b96740abc065ca3ce8d05,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,2449cc29aceca3dac262b69c83a7dff5a5168995096b96740abc065ca3ce8d05,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_202\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_202\uot_primary.npz,e5ea3ddd52381c2bdb446517e1db55d7820de2f678d0a06fb9d36123e847908f,e5ea3ddd52381c2bdb446517e1db55d7820de2f678d0a06fb9d36123e847908f,True,True,9.245132919026306e-12
Multi,203,86b50e8f2ac676c47bdd89c7b63c48ccbd97443ac3c33a9041be01369a2d4821,c4446c74cbe97785c149910c0cbabc83d7f4acb3cd44865a81efac7cc81cbc5e,86b50e8f2ac676c47bdd89c7b63c48ccbd97443ac3c33a9041be01369a2d4821,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,86b50e8f2ac676c47bdd89c7b63c48ccbd97443ac3c33a9041be01369a2d4821,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_203\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_203\uot_primary.npz,cfdc70a9de411aa78886374ad709735cc74abc305b654285bc488d282915d1e6,cfdc70a9de411aa78886374ad709735cc74abc305b654285bc488d282915d1e6,True,True,9.676434981380345e-12
Multi,204,f16a72400c2679372a8a48478f95c5d2b62cdde5e6c224d13705930bdbc75cd4,04a338958948874dd3e7e763e89fa75d397c68c7478de6a9f71b1ed6aea0ea4e,f16a72400c2679372a8a48478f95c5d2b62cdde5e6c224d13705930bdbc75cd4,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,f16a72400c2679372a8a48478f95c5d2b62cdde5e6c224d13705930bdbc75cd4,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_204\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_204\uot_primary.npz,6f1a3430ceac370fed477fc526e26ca21b02893ce02683b55aad77eddece9602,6f1a3430ceac370fed477fc526e26ca21b02893ce02683b55aad77eddece9602,True,True,8.877956164831998e-12
Multi,205,3df9710a35d4ee3419f713051cccde619121dfb1199d81755e289195eb5e3fe8,44755ae333f0b0ec0a146c8cc79c1f5d147d7860cc255e5430f4a0ab49d0f871,3df9710a35d4ee3419f713051cccde619121dfb1199d81755e289195eb5e3fe8,out\r5_posthoc_hparam_sensitivity_20260917\results\sweep_long.csv,eedd6a87ed89b60131fcdb00c6f87489fec1510d2705d2c1fa6a11a64a168d08,True,3df9710a35d4ee3419f713051cccde619121dfb1199d81755e289195eb5e3fe8,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_205\costs.npz,True,True,out\multi_bridge_expansion\amount_free_candidate_dev\plans\Multi\seed_205\uot_primary.npz,e4cde0f10a32b487bdadd4ac9b8e73952488cad92ee702fd2aae2fb5de72ff75,e4cde0f10a32b487bdadd4ac9b8e73952488cad92ee702fd2aae2fb5de72ff75,True,True,8.691873913299607e-12
