bridge,seed,k,epsilon,lambda,method,precision,recall,macro_edge_f1,micro_edge_f1,n_pred_edges,n_templates,tp_total,fp_total,fn_total,solver_iterations,solver_converged,solver_final_residual,mass_retained_fraction,cost_matrix_sha256,plan_sha256,solver_run_id,support_violations
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,0.5,0.3333333333333333,0.39999999999999997,0.4,192,48,96,96,192,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,0.4427083333333333,0.29513888888888884,0.3541666666666667,0.3541666666666667,192,48,85,107,203,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,2,0.05,0.5,RAW_UOT_PLAN_D4,0.0,0.0,0.0,0.0,180,48,0,180,288,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,2,0.05,0.5,SUPPORT_PLUS_K_D4,0.4791666666666667,0.3194444444444444,0.3833333333333333,0.3898305084745763,184,48,92,92,196,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,3,0.05,0.5,AMOUNT_FREE_COST_D4,0.4444444444444445,0.6666666666666666,0.5333333333333333,0.5333333333333333,432,48,192,240,96,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,3,0.05,0.5,CONDITIONAL_UOT_D4,0.41203703703703703,0.6180555555555555,0.4944444444444444,0.49444444444444446,432,48,178,254,110,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,3,0.05,0.5,RAW_UOT_PLAN_D4,0.10416666666666667,0.15624999999999997,0.125,0.12987012987012986,405,48,45,360,243,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,3,0.05,0.5,SUPPORT_PLUS_K_D4,0.425925925925926,0.6388888888888888,0.5111111111111111,0.5242165242165242,414,48,184,230,104,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,5,0.05,0.5,AMOUNT_FREE_COST_D4,0.19999999999999998,0.8333333333333334,0.3225806451612903,0.3225806451612903,1200,48,240,960,48,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
Celer,201,5,0.05,0.5,CONDITIONAL_UOT_D4,0.19833333333333333,0.8263888888888888,0.3198924731182795,0.31989247311827956,1200,48,238,962,50,131,True,8.959816442786158e-12,0.7247254219405795,99df17ae7a2830918bea2515e656e63e839e7c9ce07d1ab39f694183f6180650,2cb6b6592e438ca82845aa95e25c186df240ef86b2db262f52f3805c5498bf90,unit__Celer__s201__99df17ae7a28,0
