k,method,epsilon,lambda,n_bridges,n_seeds,n_cells,macro_edge_f1_mean_of_cells,macro_edge_f1_std_of_cells,precision_mean_of_cells,recall_mean_of_cells,macro_edge_f1_min_of_cells,macro_edge_f1_max_of_cells,mean_n_pred_edges,mean_n_templates,n_cells_all_converged,max_solver_final_residual,total_support_violations,mean_macro_edge_f1_Celer,std_macro_edge_f1_Celer,n_seeds_Celer,mean_precision_Celer,mean_recall_Celer,mean_macro_edge_f1_Multi,std_macro_edge_f1_Multi,n_seeds_Multi,mean_precision_Multi,mean_recall_Multi,mean_macro_edge_f1_Poly,std_macro_edge_f1_Poly,n_seeds_Poly,mean_precision_Poly,mean_recall_Poly,std_over_bridge_means_macro_edge_f1
2,AMOUNT_FREE_COST_D4,0.05,0.5,3,5,15,0.3861111111111112,0.022141470344010768,0.4826388888888889,0.32175925925925924,0.3458333333333334,0.39999999999999997,189.73333333333332,48.0,15,9.676434981380345e-12,0,0.39999999999999997,0.0,5,0.5,0.3333333333333333,0.35833333333333334,0.016404183070857923,5,0.4479166666666667,0.2986111111111111,0.39999999999999997,0.0,5,0.5,0.3333333333333333,0.024056261216234387
2,CONDITIONAL_UOT_D4,0.05,0.5,3,5,15,0.3503835978835979,0.02006428894255002,0.43744212962962964,0.29236111111111107,0.30833333333333335,0.37916666666666665,191.6,48.0,15,9.676434981380345e-12,0,0.35916666666666675,0.009947780321927743,5,0.4489583333333333,0.29930555555555555,0.3305952380952381,0.01854145169179055,5,0.4130208333333334,0.2756944444444444,0.36138888888888887,0.015131879111072064,5,0.45034722222222223,0.3020833333333333,0.017173204570970883
2,RAW_UOT_PLAN_D4,0.05,0.5,3,5,15,0.0008333333333333334,0.001725163898355886,0.0010416666666666667,0.0006944444444444444,0.0,0.004166666666666667,177.06666666666666,48.0,15,9.676434981380345e-12,0,0.0,0.0,5,0.0,0.0,0.0025,0.002282177322938192,5,0.003125,0.0020833333333333333,0.0,0.0,5,0.0,0.0,0.0014433756729740645
2,SUPPORT_PLUS_K_D4,0.05,0.5,3,5,15,0.3786111111111112,0.024224922941763736,0.4729166666666666,0.31574074074074066,0.32916666666666666,0.39999999999999997,186.53333333333333,48.0,15,9.676434981380345e-12,0,0.3808333333333333,0.018715245567896423,5,0.475,0.31805555555555554,0.355,0.020707956066315293,5,0.44375,0.29583333333333334,0.39999999999999997,0.0,5,0.5,0.3333333333333333,0.022582154540780722
3,AMOUNT_FREE_COST_D4,0.05,0.5,3,5,15,0.5168518518518518,0.026818077646500585,0.4307098765432099,0.6460648148148146,0.46388888888888885,0.5333333333333333,426.4,48.0,15,9.676434981380345e-12,0,0.5333333333333333,0.0,5,0.4444444444444445,0.6666666666666666,0.48388888888888876,0.02190749350347817,5,0.40324074074074073,0.6048611111111111,0.5333333333333333,0.0,5,0.4444444444444445,0.6666666666666666,0.028546763309931503
3,CONDITIONAL_UOT_D4,0.05,0.5,3,5,15,0.47971768336964415,0.026441547496897918,0.3996366442199776,0.5999999999999999,0.4138888888888889,0.5138888888888888,427.73333333333335,48.0,15,9.676434981380345e-12,0,0.4955555555555556,0.02102687874197284,5,0.412962962962963,0.6194444444444444,0.4548148148148147,0.02688695024130594,5,0.3789351851851852,0.56875,0.4887826797385621,0.009515764561678814,5,0.40701178451178455,0.6118055555555555,0.02183077205236767
3,RAW_UOT_PLAN_D4,0.05,0.5,3,5,15,0.1236111111111111,0.010825317547305487,0.1035493827160494,0.1537037037037037,0.09861111111111111,0.13333333333333333,395.6,48.0,15,9.676434981380345e-12,0,0.12611111111111112,0.005046083923495826,5,0.1050925925925926,0.15763888888888888,0.1113888888888889,0.008485304107836628,5,0.09444444444444443,0.13680555555555554,0.13333333333333333,0.0,5,0.11111111111111112,0.16666666666666666,0.011183790077331881
3,SUPPORT_PLUS_K_D4,0.05,0.5,3,5,15,0.5066597867217061,0.03016168412216132,0.4220668220668221,0.6337962962962962,0.44166666666666665,0.5333333333333333,419.26666666666665,48.0,15,9.676434981380345e-12,0,0.5062865497076022,0.0250717141110494,5,0.42154558404558407,0.6340277777777776,0.4803594771241829,0.02830723783390558,5,0.40021043771043774,0.6006944444444444,0.5333333333333333,0.0,5,0.4444444444444445,0.6666666666666666,0.026488900313498428
5,AMOUNT_FREE_COST_D4,0.05,0.5,3,5,15,0.3171931003584229,0.01080435796765347,0.19672222222222227,0.8189814814814816,0.2902385752688172,0.3225806451612903,1183.3333333333333,48.0,15,9.676434981380345e-12,0,0.3225806451612903,0.0,5,0.19999999999999998,0.8333333333333334,0.30641801075268815,0.013815832812552917,5,0.19016666666666665,0.7902777777777777,0.3225806451612903,0.0,5,0.19999999999999998,0.8333333333333334,0.009331501326619964
5,CONDITIONAL_UOT_D4,0.05,0.5,3,5,15,0.3129093352883675,0.010687014858812245,0.19450000000000003,0.8053240740740738,0.2791575024437927,0.32123655913978494,1181.3333333333333,48.0,15,9.676434981380345e-12,0,0.31908602150537635,0.002787156095877398,5,0.1978333333333333,0.8243055555555555,0.3029753176930596,0.014206948601556742,5,0.1893333333333333,0.7736111111111111,0.31666666666666665,0.0012021870846773176,5,0.1963333333333333,0.8180555555555555,0.008687741285674453
