kind,seed,block,path,token
content,42,forbidden,out\chapter4_data_package\DATA_FILE_INVENTORY.csv,seed-token:42
content,42,forbidden,out\chapter4_data_package\DATA_MANIFEST.json,seed-token:42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\synthetic_eval_by_scenario.csv,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\uot_eval_by_pattern.csv,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\uot_eval_summary.txt,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\uot_evaluation_metrics.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\labels\synthetic_flow_labels.csv,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\synthetic_metrics_summary.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\synthetic_seed_stratification.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\uot\uot_split_merge_summary.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\uot\uot_summary.json,synthetic_eval_seed_42
content,42,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\synthetic_eval_aggregated.json,seed-token:42
content,42,forbidden,out\chapter4_repro_package\FILE_INVENTORY.csv,seed-token:42
content,42,forbidden,out\chapter4_repro_package\MANIFEST.json,seed-token:42
content,42,forbidden,out\chapter4_repro_package\code\cross_src\application\experiments\leave_anchor_out_ablation.py,seed-token:42
content,42,forbidden,out\chapter4_repro_package\code\cross_src\domain\labels\celer_supervised_pipeline.py,seed-token:42
content,42,forbidden,out\chapter4_repro_package\code\scripts\make_ch4_artifact.py,seed-token:42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\synthetic_eval_by_scenario.csv,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\uot_eval_by_pattern.csv,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\uot_eval_summary.txt,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\eval\uot_evaluation_metrics.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\labels\synthetic_flow_labels.csv,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\synthetic_metrics_summary.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\synthetic_seed_stratification.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\uot\uot_split_merge_summary.json,synthetic_eval_seed_42
dir_name,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_42\uot\uot_summary.json,synthetic_eval_seed_42
content,42,forbidden,out\chapter4_repro_package\frozen_outputs\structural_recovery\synthetic_eval_aggregated.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v2\diagnosis\mechanism_ablations.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v2\freeze\freeze_manifest.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v2\freeze\source_snapshot\run_ec_uot_q_final.py,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v2\tuning\search_space.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v2\tuning\selection.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v3\diagnosis\mechanism_ablations.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v3\freeze\freeze_manifest.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v3\freeze\source_snapshot\run_ec_uot_q_final.py,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v3\tuning\search_space.json,seed-token:42
content,42,forbidden,out\ec_uot_q_final_v3\tuning\selection.json,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\core\pending3_baselines\open_pool.py,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\core\pending3_baselines\run_locked_test.py,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\core\pending3_baselines\run_one_to_one_flow_baselines.py,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\core\pending3_baselines\run_open_pool_baseline.py,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\core\pending4_generator\PAPER_EXPERIMENTS_RESULTS_MANIFEST.json,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\core\repository_link_status\PAPER_EXPERIMENTS_RESULTS_MANIFEST.json,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\e1\code_closure_baseline\scripts\run_open_pool_baseline.py,seed-token:42
content,42,forbidden,out\handoff_r11_remaining6\e1\code_closure_baseline\src\cross\baseline_compare\open_pool.py,seed-token:42
content,43,forbidden,out\chapter4_data_package\DATA_FILE_INVENTORY.csv,seed-token:43
content,43,forbidden,out\chapter4_data_package\DATA_MANIFEST.json,seed-token:43
dir_name,43,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_43\eval\synthetic_eval_by_scenario.csv,synthetic_eval_seed_43
dir_name,43,forbidden,out\chapter4_data_package\frozen_outputs\structural_recovery\seeds\synthetic_eval_seed_43\eval\uot_eval_by_pattern.csv,synthetic_eval_seed_43
