bridge,method,n_seeds,macro_edge_f1_mean,macro_edge_f1_std,precision_mean,recall_mean,split_exact_mean,merge_exact_mean,overall_exact_mean,edges_per_family_mean,n_pred_edges_mean
Celer,UOT_KR,10,0.44412072893351917,0.011270406798237634,0.3912037037037036,0.5239841061716063,0.0,0.0,0.0,17.9625,431.1
Celer,RAW_UOT_PLAN,10,0.10977166251934053,0.007034730607321512,0.09768518518518518,0.12807970386095385,0.0,0.0,0.0,16.4875,395.7
Celer,CONDITIONAL_UOT,10,0.42396860280529014,0.022172302159358958,0.3734597578347578,0.5003771286583786,0.0,0.0,0.0,18.045833333333334,433.1
Celer,SUPPORT_PLUS_K,10,0.4123382604082746,0.024940231775613664,0.36290954415954413,0.4875798853923854,0.0,0.0,0.0,16.95416666666667,406.9
Celer,HUNGARIAN_1TO1,10,0.412738140127846,0.035262627280834444,0.42509920634920634,0.4046092853905353,0.0,0.0,0.0,12.037500000000001,288.9
Celer,THRESHOLD_MM,10,0.060055079559363525,0.013745635900219504,0.03506235827664399,0.20942460317460315,0.0,0.0,0.0,18.104166666666664,434.5
Celer,DUAL_SOFTMAX,10,0.25358858733858736,0.006302450286824762,1.0,0.14584192427942427,0.0,0.0,0.0,2.0,48.0
Multi,UOT_KR,10,0.390516287655413,0.027881580966990168,0.34143518518518523,0.4639231601731601,0.0,0.0,0.0,16.4375,394.5
Multi,RAW_UOT_PLAN,10,0.09843504208926034,0.007708016684111001,0.08807870370370371,0.11483352873977873,0.0,0.0,0.0,14.375,345.0
Multi,CONDITIONAL_UOT,10,0.39029662596032566,0.0336869031595254,0.341266835016835,0.46364628427128424,0.0,0.0,0.0,17.383333333333333,417.2
Multi,SUPPORT_PLUS_K,10,0.3859106328935083,0.029748896691671745,0.33703703703703697,0.4589320286195286,0.0,0.0,0.0,16.3125,391.5
Multi,HUNGARIAN_1TO1,10,0.3875492403157844,0.0626823398089117,0.3977678571428571,0.38059516293891293,0.0,0.0,0.0,12.0375,288.9
Multi,THRESHOLD_MM,10,0.02087510442773601,0.007881962648447646,0.012499999999999999,0.07003968253968254,0.0,0.0,0.0,6.075,145.8
Multi,DUAL_SOFTMAX,10,0.23363287175787179,0.015064496089916564,0.9083333333333332,0.13456003487253487,0.0,0.0,0.0,1.9541666666666664,46.9
Poly,UOT_KR,10,0.4529942349746916,0.014791339073460266,0.39560185185185176,0.5387781836219336,0.0,0.0,0.0,17.9625,431.1
Poly,RAW_UOT_PLAN,10,0.12151521573541697,0.002673258684538798,0.10717592592592591,0.14291531385281384,0.0,0.0,0.0,17.85,428.4
Poly,CONDITIONAL_UOT,10,0.43073255033007357,0.020459739414294024,0.37611111111111106,0.5125015031265031,0.0,0.0,0.0,17.979166666666668,431.5
Poly,SUPPORT_PLUS_K,10,0.4529942349746916,0.014791339073460266,0.39560185185185176,0.5387781836219336,0.0,0.0,0.0,17.9625,431.1
Poly,HUNGARIAN_1TO1,10,0.4107488470815676,0.04655635503252614,0.42157738095238084,0.4034063852813853,0.0,0.0,0.0,12.0375,288.9
Poly,THRESHOLD_MM,10,0.10558192202071445,0.00938645141206115,0.0639484126984127,0.30901274651274646,0.0,0.0,0.0,26.50416666666667,636.1
Poly,DUAL_SOFTMAX,10,0.25665880415880415,0.005583919194811862,0.9958333333333333,0.14786323051948053,0.0,0.0,0.0,1.9958333333333331,47.9
