bridge,seed,delta_S_total,delta_T_total,mean_delta_S,mean_delta_T,support_mass_fraction,mass_total,UOT_KR_macro_f1,UOT_KR_edges_per_family,mean_split_degree,mean_merge_degree
Celer,411,0.2516073221378299,0.2516073221378296,0.0008736365352007982,0.0007789700375784198,0.9999877036978065,0.7483926778621701,0.4560383802643864,17.625,2.7291666666666665,2.0
Celer,412,0.2781302570615727,0.27813025706157285,0.0009590698519364576,0.0007812647670268901,0.9999868052222803,0.7218697429384274,0.43830378642685136,18.0,3.4166666666666665,2.0416666666666665
Celer,413,0.26394470078991816,0.26394470078991833,0.0009133034629408933,0.0007763079434997598,0.9999845600470026,0.7360552992100816,0.4539929787704556,18.0,3.0833333333333335,2.0208333333333335
Celer,414,0.2875020904513679,0.28750209045136776,0.0009913865187978202,0.0008381985144354745,0.9999836324772596,0.7124979095486321,0.4522292250233427,18.0,3.1458333333333335,2.0416666666666665
Celer,415,0.24453264357203314,0.2445326435720333,0.0008490716790695596,0.0006849653881569561,0.9999814230338094,0.7554673564279667,0.4273677453437515,18.0,3.4375,2.0
Celer,416,0.25782973721348673,0.25782973721348684,0.0008952421431023845,0.0007583227565102554,0.9999837968759888,0.7421702627865131,0.4516602474323063,18.0,3.0833333333333335,2.0
Celer,417,0.2771581650224384,0.27715816502243845,0.0009557178104222014,0.0007941494699783337,0.9999890563691665,0.7228418349775616,0.4296334712114511,18.0,3.2708333333333335,2.0416666666666665
Celer,418,0.21609573373328028,0.2160957337332804,0.0007503324087961121,0.0006548355567675163,0.9999889780419591,0.7839042662667198,0.4410750374711288,18.0,2.875,2.0
Celer,419,0.3143848864138637,0.3143848864138638,0.001087836977210601,0.000944098757999591,0.999990851879374,0.6856151135861361,0.4564964801710158,18.0,2.9375,2.0208333333333335
Celer,420,0.2841921237374343,0.28419212373743447,0.00098336374995652,0.0007850611152967802,0.9999850384299318,0.7158078762625654,0.4344099372205022,18.0,3.5416666666666665,2.0208333333333335
Multi,411,0.32948929795220655,0.3294892979522063,0.0011401013769972545,0.0010232586892925661,0.9999947432101678,0.6705107020477936,0.4075630252100841,15.75,2.7083333333333335,2.0208333333333335
Multi,412,0.2933908492018924,0.2933908492018921,0.0010187182263954597,0.0008528803755868957,0.9999896076058654,0.7066091507981077,0.34156953351516045,15.375,3.1666666666666665,2.0
Multi,413,0.2793000278477225,0.27930002784772306,0.0009697917633601476,0.0008438067306577737,0.9999897045409774,0.7206999721522775,0.37588702147525677,16.75,2.8958333333333335,2.0
Multi,414,0.32217330477618267,0.3221733047761828,0.001114786521716895,0.0009588491213576868,0.9999945371162874,0.6778266952238172,0.4395687441643324,17.25,3.0,2.0208333333333335
Multi,415,0.3449412750185777,0.3449412750185778,0.001193568425669819,0.0009883704155260109,0.9999886200742747,0.6550587249814221,0.38638607855422863,16.875,3.2708333333333335,2.0208333333333335
Multi,416,0.3135901747563874,0.31359017475638684,0.0010813454301944394,0.0009169303355449908,0.9999911446721913,0.6864098252436127,0.3691905929038282,15.75,3.125,2.0416666666666665
Multi,417,0.3760528261557589,0.3760528261557585,0.0012967338832957204,0.0011500086426781606,0.9999915018174781,0.623947173844241,0.4138246965452848,17.5,2.8125,2.0416666666666665
Multi,418,0.34537084285761227,0.34537084285761205,0.001195054819576513,0.0010434164436785862,0.9999900825726342,0.6546291571423879,0.38448295985060693,17.25,2.8958333333333335,2.0208333333333335
Multi,419,0.3356622846911832,0.33566228469118337,0.0011614611927030561,0.0009757624554976261,0.9999889872109168,0.6643377153088166,0.3757045800776451,16.125,3.1666666666666665,2.0208333333333335
Multi,420,0.39371774645232355,0.39371774645232366,0.0013670755085150124,0.001182335574931903,0.999989118332036,0.6062822535476765,0.41098564425770306,15.75,2.9375,2.0
Poly,411,0.2971388439659248,0.2971388439659247,0.0010281620898474908,0.0009086814800181184,0.9999887132821825,0.7028611560340754,0.46781629318394025,18.0,2.8125,2.0208333333333335
Poly,412,0.31058534269588156,0.3105853426958817,0.001074689767113777,0.00099546584197398,0.9999923682200963,0.6894146573041185,0.4695370472750504,17.625,2.5,2.0208333333333335
Poly,413,0.1897181203095721,0.18971812030957272,0.0006587434732971254,0.000559640472889595,0.99998155950884,0.810281879690428,0.449187383286648,18.0,3.0625,2.0
Poly,414,0.2773259960548121,0.27732599605481206,0.0009465051059891199,0.0008061802210895699,0.999985800813932,0.7226740039451879,0.44403011204481785,18.0,3.1666666666666665,2.1041666666666665
Poly,415,0.2834769588689792,0.28347695886897906,0.0009842949960728446,0.0008886425042914704,0.9999873597129256,0.7165230411310206,0.4774276377217554,18.0,2.6458333333333335,2.0
Poly,416,0.29724335444139,0.29724335444138983,0.0010285237177902768,0.00087682405439938,0.9999887568259953,0.7027566455586101,0.454593361467394,18.0,3.0625,2.0208333333333335
Poly,417,0.278150193650686,0.27815019365068616,0.0009624574174764221,0.0008039022937881103,0.9999853023964357,0.7218498063493141,0.43366727173325464,18.0,3.2083333333333335,2.0208333333333335
Poly,418,0.30892332572084474,0.3089233257208451,0.001072650436530711,0.0009304919449423044,0.999990196551644,0.6910766742791551,0.4487920168067227,18.0,2.9166666666666665,2.0
Poly,419,0.285938092611509,0.2859380926115091,0.0009928405993455173,0.0008409943900338503,0.9999873374463425,0.7140619073884911,0.45159881935230234,18.0,3.0833333333333335,2.0
Poly,420,0.2925149623222989,0.2925149623222988,0.0010156769525079823,0.0008381517545051541,0.9999875712008122,0.7074850376777011,0.43329240687503073,18.0,3.2708333333333335,2.0
