bridge,seed,method,macro_edge_f1,family_mean_edge_precision,family_mean_edge_recall,family_mean_split_exact,family_mean_merge_exact,family_mean_overall_exact,n_pred_edges_total,mean_edges_per_family
Celer,411,UOT_KR,0.4560383802643864,0.39351851851851843,0.5489357864357864,0.0,0.0,0.0,423,17.625
Celer,411,RAW_UOT_PLAN,0.11977899712516586,0.10416666666666667,0.14296536796536796,0.0,0.0,0.0,411,17.125
Celer,411,CONDITIONAL_UOT,0.4612467135977198,0.3981481481481481,0.5548881673881674,0.0,0.0,0.0,432,18.0
Celer,411,SUPPORT_PLUS_K,0.43971893581994204,0.3796296296296296,0.5290945165945166,0.0,0.0,0.0,414,17.25
Celer,411,HUNGARIAN_1TO1,0.47105471462089105,0.4791666666666667,0.46538600288600285,0.0,0.0,0.0,288,12.0
Celer,411,THRESHOLD_MM,0.08875046142488004,0.052083333333333336,0.30257936507936506,0.0,0.0,0.0,594,24.75
Celer,411,DUAL_SOFTMAX,0.2645837958337958,1.0,0.15288600288600288,0.0,0.0,0.0,48,2.0
Celer,412,UOT_KR,0.43830378642685136,0.3912037037037037,0.5109893578643578,0.0,0.0,0.0,432,18.0
Celer,412,RAW_UOT_PLAN,0.11473552140154307,0.10416666666666667,0.13130862193362192,0.0,0.0,0.0,405,16.875
Celer,412,CONDITIONAL_UOT,0.3867032573263223,0.3455306267806268,0.4507215007215007,0.0,0.0,0.0,439,18.291666666666668
Celer,412,SUPPORT_PLUS_K,0.3984007881905199,0.3564814814814814,0.46237824675324674,0.0,0.0,0.0,411,17.125
Celer,412,HUNGARIAN_1TO1,0.3929894928056692,0.4077380952380952,0.3837887806637807,0.0,0.0,0.0,290,12.083333333333334
Celer,412,THRESHOLD_MM,0.041666666666666664,0.024305555555555552,0.14583333333333334,0.0,0.0,0.0,300,12.5
Celer,412,DUAL_SOFTMAX,0.24708023458023456,1.0,0.14172528860028857,0.0,0.0,0.0,48,2.0
Celer,413,UOT_KR,0.4539929787704556,0.3981481481481481,0.5386431277056277,0.0,0.0,0.0,432,18.0
Celer,413,RAW_UOT_PLAN,0.10785381038380264,0.0949074074074074,0.1273065476190476,0.0,0.0,0.0,390,16.25
Celer,413,CONDITIONAL_UOT,0.4197915898815667,0.3680555555555555,0.4984645562770562,0.0,0.0,0.0,432,18.0
Celer,413,SUPPORT_PLUS_K,0.4205278054204138,0.36520655270655267,0.5049355158730159,0.0,0.0,0.0,400,16.666666666666668
Celer,413,HUNGARIAN_1TO1,0.43544472276089913,0.4469246031746031,0.42805961399711395,0.0,0.0,0.0,289,12.041666666666666
Celer,413,THRESHOLD_MM,0.05357142857142857,0.03125,0.1875,0.0,0.0,0.0,384,16.0
Celer,413,DUAL_SOFTMAX,0.2557989464239464,1.0,0.14730564574314575,0.0,0.0,0.0,48,2.0
Celer,414,UOT_KR,0.4522292250233427,0.3981481481481481,0.5344742063492064,0.0,0.0,0.0,432,18.0
Celer,414,RAW_UOT_PLAN,0.1063360760971055,0.0949074074074074,0.12413194444444443,0.0,0.0,0.0,396,16.5
Celer,414,CONDITIONAL_UOT,0.43868755835667606,0.386574074074074,0.5181051587301587,0.0,0.0,0.0,432,18.0
Celer,414,SUPPORT_PLUS_K,0.4349628108819285,0.38194444444444436,0.517609126984127,0.0,0.0,0.0,420,17.5
Celer,414,HUNGARIAN_1TO1,0.42749287749287745,0.439484126984127,0.419890873015873,0.0,0.0,0.0,290,12.083333333333334
Celer,414,THRESHOLD_MM,0.059523809523809514,0.03472222222222222,0.20833333333333334,0.0,0.0,0.0,444,18.5
Celer,414,DUAL_SOFTMAX,0.25388939763939766,1.0,0.1460813492063492,0.0,0.0,0.0,48,2.0
Celer,415,UOT_KR,0.4273677453437515,0.3819444444444444,0.49637896825396827,0.0,0.0,0.0,432,18.0
Celer,415,RAW_UOT_PLAN,0.11072641776008647,0.09953703703703705,0.12767857142857142,0.0,0.0,0.0,423,17.625
Celer,415,CONDITIONAL_UOT,0.4273677453437515,0.3819444444444444,0.49637896825396827,0.0,0.0,0.0,432,18.0
Celer,415,SUPPORT_PLUS_K,0.4212124423134485,0.375,0.4934027777777778,0.0,0.0,0.0,429,17.875
Celer,415,HUNGARIAN_1TO1,0.3630481786731787,0.37847222222222215,0.352959656084656,0.0,0.0,0.0,288,12.0
Celer,415,THRESHOLD_MM,0.06547619047619048,0.03819444444444444,0.22916666666666666,0.0,0.0,0.0,510,21.25
Celer,415,DUAL_SOFTMAX,0.2463221963221963,1.0,0.14115410052910052,0.0,0.0,0.0,48,2.0
Celer,416,UOT_KR,0.4516602474323063,0.39583333333333326,0.5359397546897547,0.0,0.0,0.0,432,18.0
Celer,416,RAW_UOT_PLAN,0.11216493541861187,0.09953703703703705,0.13139956108706108,0.0,0.0,0.0,387,16.125
Celer,416,CONDITIONAL_UOT,0.43777135854341737,0.38425925925925924,0.5185786435786436,0.0,0.0,0.0,432,18.0
Celer,416,SUPPORT_PLUS_K,0.4031614729225024,0.3541666666666667,0.47753201659451655,0.0,0.0,0.0,387,16.125
Celer,416,HUNGARIAN_1TO1,0.4362879767291532,0.4479166666666667,0.42864658489658486,0.0,0.0,0.0,288,12.0
Celer,416,THRESHOLD_MM,0.059523809523809514,0.03472222222222222,0.20833333333333334,0.0,0.0,0.0,474,19.75
