bridge,seed,solver_call_id,reg,reg_m,numItermax,stopThr,iterations,final_err,converged,hit_max_iter,runtime_sec,marginal_violation_row_l1,marginal_violation_col_l1,marginal_violation_row_max,marginal_violation_col_max,transport_mass_total,plan_sha256,cost_matrix_sha256,solver_invocations_for_this_cell,kkt
Celer,411,UOT|Celer|411|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,8.807034699043408e-12,True,False,0.04395413398742676,0.2516073221378299,0.2516073221378296,0.024856986327826264,0.024423374213674062,0.7483926778621701,4904d2c079355c6cdea11d9716b96960fca3cc00905b752342f5b3ab7c0c3a3a,48e8fecb8ad7cfa9121ede014df329b36556a9cfa15ec9bba547c712e5c91d77,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 2.742667204458371e-13, 'marginal_kkt_col_max': 2.757100103778498e-13, 'marginal_kkt_max': 2.757100103778498e-13, 'plan_reconstruction_abs_err': 5.506012312750386e-14, 'plan_reconstruction_rel_err': 2.8736461674636493e-12, 'n_iter': 187, 'balanced_marginal_row_max': 0.024856986327826264, 'balanced_marginal_col_max': 0.024423374213674062, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,412,UOT|Celer|412|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.063762260771562e-12,True,False,0.032334327697753906,0.2781302570615727,0.27813025706157285,0.016730251522097936,0.015294454093615198,0.7218697429384273,bcae718c8ba9e819975b7bde7a0b10bb257fc244844ecc0d7e5e3062caeeefc9,b3921f5d05d1b9e80ebbca07e67b950f9470ae3803a47da35e50bba742a92319,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.7302825838783065e-13, 'marginal_kkt_col_max': 1.7401358132218547e-13, 'marginal_kkt_max': 1.7401358132218547e-13, 'plan_reconstruction_abs_err': 3.474477650033947e-14, 'plan_reconstruction_rel_err': 3.1425409361183937e-12, 'n_iter': 186, 'balanced_marginal_row_max': 0.016730251522097936, 'balanced_marginal_col_max': 0.015294454093615198, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,413,UOT|Celer|413|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,8.573271927172235e-12,True,False,0.05040311813354492,0.26394470078991816,0.26394470078991833,0.019058461304634816,0.020199337505153778,0.7360552992100817,f349618305817b02a0872a3ca3323afd60eb164c54a28c08755fe7aac8146dbf,479535d76db0b6e9121633283121665df3511fea1372de1ba7179fb9306f60ca,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 2.094505124894397e-13, 'marginal_kkt_col_max': 2.0990154059319366e-13, 'marginal_kkt_max': 2.0990154059319366e-13, 'plan_reconstruction_abs_err': 4.191438862655161e-14, 'plan_reconstruction_rel_err': 3.5113818415828494e-12, 'n_iter': 185, 'balanced_marginal_row_max': 0.019058461304634816, 'balanced_marginal_col_max': 0.020199337505153778, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,414,UOT|Celer|414|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.114117901724375e-12,True,False,0.031055450439453125,0.2875020904513679,0.28750209045136776,0.03185431960028583,0.03323035607721157,0.712497909548632,fadc703814889ebb8cb45e0695f1f06a64b7a71d15a0434f0fa0c01e6fce9ef6,6f964743eeb2c285f4121a62545d8aecbabe3cbfb222113bf7604b75ed98dce8,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 3.3920088959860095e-13, 'marginal_kkt_col_max': 3.400890680183011e-13, 'marginal_kkt_max': 3.400890680183011e-13, 'plan_reconstruction_abs_err': 6.792483242534786e-14, 'plan_reconstruction_rel_err': 3.936006739544925e-12, 'n_iter': 186, 'balanced_marginal_row_max': 0.03185431960028583, 'balanced_marginal_col_max': 0.03323035607721157, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,415,UOT|Celer|415|eps0.05|lam0.5,0.05,0.5,20000,1e-11,130,9.96612132087734e-12,True,False,0.031022310256958008,0.24453264357203314,0.2445326435720333,0.024145214413885965,0.023059555441638888,0.7554673564279668,3c743e3de99f9007af4e4d661e7332701803705525a40865ad8def4235938f4a,0ea85fcac870caaf7cf3d9d4c09203174b78a1b9fe8589c429483ce4cc72bcd7,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 3.1452618287630685e-13, 'marginal_kkt_col_max': 3.1616376183762895e-13, 'marginal_kkt_max': 3.1616376183762895e-13, 'plan_reconstruction_abs_err': 6.31196483968921e-14, 'plan_reconstruction_rel_err': 3.4067824178163984e-12, 'n_iter': 189, 'balanced_marginal_row_max': 0.024145214413885965, 'balanced_marginal_col_max': 0.023059555441638888, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,416,UOT|Celer|416|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,8.728192197500605e-12,True,False,0.03202462196350098,0.25782973721348673,0.25782973721348684,0.023498964384270335,0.02198225167739261,0.7421702627865131,544ae3d4af732a7671a13c0c1151adc0e2499908d0513ae6ae99e990ba0f6fde,115d7ec24aafcc549c03c9d1c7cf78c7d008964c458b9bf5e95df66f0ec1f6b2,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 2.4658053376924727e-13, 'marginal_kkt_col_max': 2.478572902475662e-13, 'marginal_kkt_max': 2.478572902475662e-13, 'plan_reconstruction_abs_err': 4.950553855742612e-14, 'plan_reconstruction_rel_err': 2.874352740452649e-12, 'n_iter': 187, 'balanced_marginal_row_max': 0.023498964384270335, 'balanced_marginal_col_max': 0.02198225167739261, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,417,UOT|Celer|417|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,8.798101384864996e-12,True,False,0.03195929527282715,0.2771581650224384,0.27715816502243845,0.016614411315272977,0.017422633120357328,0.7228418349775616,26eeb25b53dfbc713c1882f54e4d8fc40dac2107840b14453c045af8a35fd872,176902d7310d0bdd54b45f507e9c96d34f15fba09cb8ac3fb31fa213701898ef,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.892097589717423e-13, 'marginal_kkt_col_max': 1.89979976195076e-13, 'marginal_kkt_max': 1.89979976195076e-13, 'plan_reconstruction_abs_err': 3.789676905618933e-14, 'plan_reconstruction_rel_err': 3.6140140075875013e-12, 'n_iter': 189, 'balanced_marginal_row_max': 0.016614411315272977, 'balanced_marginal_col_max': 0.017422633120357328, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,418,UOT|Celer|418|eps0.05|lam0.5,0.05,0.5,20000,1e-11,130,9.570007356462591e-12,True,False,0.037386178970336914,0.21609573373328028,0.2160957337332804,0.03262864938715526,0.03253096781282161,0.7839042662667199,9e509ca0725ed99fc04669a96b315d159b0accb184023cd816a58546a5176c0e,d21b750622a3faccc7e4cee4abe3bf68e10fc62a69ced322ec8f9d9ee4cabaa2,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 4.3778869418531485e-13, 'marginal_kkt_col_max': 4.3939851757102133e-13, 'marginal_kkt_max': 4.3939851757102133e-13, 'plan_reconstruction_abs_err': 8.776659954357058e-14, 'plan_reconstruction_rel_err': 3.196574895776076e-12, 'n_iter': 184, 'balanced_marginal_row_max': 0.03262864938715526, 'balanced_marginal_col_max': 0.03253096781282161, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,419,UOT|Celer|419|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.627429796207481e-12,True,False,0.03958749771118164,0.3143848864138637,0.3143848864138638,0.008497649456328627,0.007636796845541225,0.6856151135861362,e093d286b310de2f548668ee526daba1119da8cba692dc8d6a7b05c5e33b2fa7,6c76eda55e728f67b76dc8be4512af3e299b884372ace6a1194ff1c2097f90ff,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 8.742659374227912e-14, 'marginal_kkt_col_max': 8.701372955499664e-14, 'marginal_kkt_max': 8.742659374227912e-14, 'plan_reconstruction_abs_err': 1.7367184079741804e-14, 'plan_reconstruction_rel_err': 4.28409386822932e-12, 'n_iter': 186, 'balanced_marginal_row_max': 0.008497649456328627, 'balanced_marginal_col_max': 0.007636796845541225, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
Celer,420,UOT|Celer|420|eps0.05|lam0.5,0.05,0.5,20000,1e-11,131,9.120488735121001e-12,True,False,0.034615278244018555,0.2841921237374343,0.28419212373743447,0.017499850023683435,0.0180520236461411,0.7158078762625654,cbd2d3bf13c2626b5d8f20486767821d24a045110325d70133bb351d06653b55,49bf4a3f09f5c5e00a24ca1d1f8f60009942964403329d38865f81c910008289,1,"{'definition': ""KKT marginal residual of the entropic UNBALANCED OT optimum as POT solves it (reg_type='kl', K_eff = exp(-C/reg) * a outer b): max|P1 - a*u^(-reg/reg_m)| and max|P^T1 - b*v^(-reg/reg_m)|"", 'pot_reg_type': 'kl (POT default since 0.9.5)', 'effective_kernel': 'exp(-C/reg) * outer(a, b)', 'marginal_kkt_row_max': 1.9470536294363683e-13, 'marginal_kkt_col_max': 1.9581558596826198e-13, 'marginal_kkt_max': 1.9581558596826198e-13, 'plan_reconstruction_abs_err': 3.8979236505198855e-14, 'plan_reconstruction_rel_err': 3.678966577264521e-12, 'n_iter': 185, 'balanced_marginal_row_max': 0.017499850023683435, 'balanced_marginal_col_max': 0.0180520236461411, 'note': ""the 'balanced' figures are reported only to document that a raw |P1-a| check is not the right diagnostic for an unbalanced solve""}"
