bridge,seed,delta_S_total,delta_T_total,mean_delta_S,mean_delta_T,delta_S_max,delta_T_max,mass_total,support_cells,matrix_cells,support_fraction,source_zero_mass,target_zero_mass
Celer,411,0.2516073221378299,0.2516073221378296,0.0008736365352007982,0.0007789700375784198,0.024856986327826264,0.024423374213674062,0.7483926778621701,62942,93024,0.6766210870313037,0,2
Celer,412,0.2781302570615727,0.27813025706157285,0.0009590698519364576,0.0007812647670268901,0.016730251522097936,0.015294454093615198,0.7218697429384273,63055,103240,0.6107613328167377,0,0
Celer,413,0.26394470078991816,0.26394470078991833,0.0009133034629408933,0.0007763079434997598,0.019058461304634816,0.020199337505153778,0.7360552992100817,48616,98260,0.49476898025646243,8,26
Celer,414,0.2875020904513679,0.28750209045136776,0.0009913865187978202,0.0008381985144354745,0.03185431960028583,0.03323035607721157,0.712497909548632,55727,99470,0.5602392681210415,2,7
Celer,415,0.24453264357203314,0.2445326435720333,0.0008490716790695596,0.0006849653881569561,0.024145214413885965,0.023059555441638888,0.7554673564279668,54940,102816,0.5343526299408652,0,3
Celer,416,0.25782973721348673,0.25782973721348684,0.0008952421431023845,0.0007583227565102554,0.023498964384270335,0.02198225167739261,0.7421702627865131,45602,97920,0.46570669934640524,0,0
Celer,417,0.2771581650224384,0.27715816502243845,0.0009557178104222014,0.0007941494699783337,0.016614411315272977,0.017422633120357328,0.7228418349775616,60940,101210,0.6021144155715838,6,11
Celer,418,0.21609573373328028,0.2160957337332804,0.0007503324087961121,0.0006548355567675163,0.03262864938715526,0.03253096781282161,0.7839042662667199,46562,95040,0.48992003367003367,2,21
Celer,419,0.3143848864138637,0.3143848864138638,0.001087836977210601,0.000944098757999591,0.008497649456328627,0.007636796845541225,0.6856151135861362,77532,96237,0.8056360859129025,0,0
Celer,420,0.2841921237374343,0.28419212373743447,0.00098336374995652,0.0007850611152967802,0.017499850023683435,0.0180520236461411,0.7158078762625654,73393,104618,0.7015331969641936,0,0
Multi,411,0.32948929795220655,0.3294892979522063,0.0011401013769972545,0.0010232586892925661,0.016164958857577696,0.01689651540341911,0.6705107020477937,83456,93058,0.8968170388359947,0,0
Multi,412,0.2933908492018924,0.2933908492018921,0.0010187182263954597,0.0008528803755868957,0.027472122147729802,0.02806731751448266,0.7066091507981076,81412,99072,0.8217458010335917,0,0
Multi,413,0.2793000278477225,0.27930002784772306,0.0009697917633601476,0.0008438067306577737,0.03220148847366819,0.03252121900674307,0.7206999721522774,73852,95328,0.7747146693521316,0,0
Multi,414,0.32217330477618267,0.3221733047761828,0.001114786521716895,0.0009588491213576868,0.016310196457386517,0.017650331047061027,0.6778266952238173,89904,97104,0.925852694018784,0,0
Multi,415,0.3449412750185777,0.3449412750185778,0.001193568425669819,0.0009883704155260109,0.016913945858064775,0.01984058619301541,0.6550587249814224,80881,100861,0.8019055928455994,0,0
Multi,416,0.3135901747563874,0.31359017475638684,0.0010813454301944394,0.0009169303355449908,0.011751203572045881,0.012205910308460088,0.6864098252436127,79106,99180,0.7976003226456947,0,0
Multi,417,0.3760528261557589,0.3760528261557585,0.0012967338832957204,0.0011500086426781606,0.029202840867472553,0.028550195743477974,0.6239471738442411,74509,94830,0.785711272803965,0,0
Multi,418,0.34537084285761227,0.34537084285761205,0.001195054819576513,0.0010434164436785862,0.017336944199442067,0.018006933580614948,0.6546291571423879,79828,95659,0.8345059011697802,0,0
Multi,419,0.3356622846911832,0.33566228469118337,0.0011614611927030561,0.0009757624554976261,0.01690412958274198,0.01613835232485535,0.6643377153088166,75151,99416,0.7559245996620262,0,0
Multi,420,0.39371774645232355,0.39371774645232366,0.0013670755085150124,0.001182335574931903,0.04122937161849081,0.0401821850436299,0.6062822535476764,78024,95904,0.8135635635635635,0,0
Poly,411,0.2971388439659248,0.2971388439659247,0.0010281620898474908,0.0009086814800181184,0.010472878074626893,0.01076927635249876,0.7028611560340753,76813,94503,0.8128101753383491,0,0
Poly,412,0.31058534269588156,0.3105853426958817,0.001074689767113777,0.00099546584197398,0.00543371436095994,0.005180149586617741,0.6894146573041187,79275,90168,0.8791921746073995,0,0
Poly,413,0.1897181203095721,0.18971812030957272,0.0006587434732971254,0.000559640472889595,0.035263967247503886,0.035750074437386564,0.8102818796904278,30666,97632,0.31409783677482794,0,0
Poly,414,0.2773259960548121,0.27732599605481206,0.0009465051059891199,0.0008061802210895699,0.02245365760486659,0.023223291205471175,0.7226740039451879,73675,100792,0.7309607905389317,0,0
Poly,415,0.2834769588689792,0.28347695886897906,0.0009842949960728446,0.0008886425042914704,0.017504851218326477,0.018187577141158623,0.7165230411310207,73140,91872,0.7961076280041798,0,0
Poly,416,0.29724335444139,0.29724335444138983,0.0010285237177902768,0.00087682405439938,0.009306802307673431,0.009721298476965758,0.7027566455586101,79798,97971,0.8145063335068541,0,0
Poly,417,0.278150193650686,0.27815019365068616,0.0009624574174764221,0.0008039022937881103,0.019457625271068313,0.020136254900013292,0.721849806349314,74089,99994,0.7409344560673641,0,0
Poly,418,0.30892332572084474,0.3089233257208451,0.001072650436530711,0.0009304919449423044,0.005765355079183236,0.005991455711859007,0.691076674279155,80590,95616,0.8428505689424364,0,0
Poly,419,0.285938092611509,0.2859380926115091,0.0009928405993455173,0.0008409943900338503,0.01822276422394719,0.018953492566255836,0.7140619073884911,76016,97920,0.7763071895424837,0,0
Poly,420,0.2925149623222989,0.2925149623222988,0.0010156769525079823,0.0008381517545051541,0.01724388977685272,0.017931906842388157,0.7074850376777011,80864,100512,0.804520853231455,0,0
