src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,bridge,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_split_src,bnb_flow_d5396ef0ca2a4b__synth_split_a,207.9058293600564,69.3019431200188,161.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,69.3019431200188,69.3019431200188,
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_split_src,bnb_flow_d5396ef0ca2a4b__synth_split_b,207.9058293600564,69.3019431200188,161.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,69.3019431200188,69.3019431200188,
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_split_src,bnb_flow_d5396ef0ca2a4b__synth_split_c,207.9058293600564,69.3019431200188,161.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,69.3019431200188,69.3019431200188,
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_merge_src1,bnb_flow_d5396ef0ca2a4b__synth_merge_dst,103.9529146800282,207.9058293600564,161.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,103.9529146800282,103.9529146800282,
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_merge_src2,bnb_flow_d5396ef0ca2a4b__synth_merge_dst,103.9529146800282,207.9058293600564,161.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,103.9529146800282,103.9529146800282,
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_unmatched_src,bnb_flow_d5396ef0ca2a4b__synth_hidden_dst,207.90582936005637,0,161.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_noise_src_0,bnb_flow_d5396ef0ca2a4b__synth_noise_dst_0,207.90582936005637,206.28446990537824,221,one_to_one,0.2307,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_d1c00a8bd20443__r7fam00__inst00__synth_noise_src_1,bnb_flow_d5396ef0ca2a4b__synth_noise_dst_1,207.90582936005637,206.28446990537824,281,one_to_one,0.2318,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_e3c65de37bd94a__r7fam00__inst01__synth_split_src,bnb_flow_f5538d1b7f3144__synth_split_a,0.030682,0.004383142857142857,150.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.004383142857142857,0.004383142857142857,
eth_flow_e3c65de37bd94a__r7fam00__inst01__synth_split_src,bnb_flow_f5538d1b7f3144__synth_split_b,0.030682,0.004383142857142857,150.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.004383142857142857,0.004383142857142857,
