src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,bridge,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_2d548288144f46__r7fam00__inst00__synth_split_src,bnb_flow_3da20e41eeb64b__synth_split_a,164.138614,54.71287133333333,145.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,54.71287133333333,54.71287133333333,
eth_flow_2d548288144f46__r7fam00__inst00__synth_split_src,bnb_flow_3da20e41eeb64b__synth_split_b,164.138614,54.71287133333333,145.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,54.71287133333333,54.71287133333333,
eth_flow_2d548288144f46__r7fam00__inst00__synth_split_src,bnb_flow_3da20e41eeb64b__synth_split_c,164.138614,54.71287133333333,145.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,54.71287133333333,54.71287133333333,
eth_flow_2d548288144f46__r7fam00__inst00__synth_merge_src1,bnb_flow_3da20e41eeb64b__synth_merge_dst,82.069307,164.138614,145.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,82.069307,82.069307,
eth_flow_2d548288144f46__r7fam00__inst00__synth_merge_src2,bnb_flow_3da20e41eeb64b__synth_merge_dst,82.069307,164.138614,145.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,82.069307,82.069307,
eth_flow_2d548288144f46__r7fam00__inst00__synth_unmatched_src,bnb_flow_3da20e41eeb64b__synth_hidden_dst,164.138614,0,145.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_2d548288144f46__r7fam00__inst00__synth_noise_src_0,bnb_flow_3da20e41eeb64b__synth_noise_dst_0,164.138614,162.64122087897655,205,one_to_one,0.2265,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_2d548288144f46__r7fam00__inst00__synth_noise_src_1,bnb_flow_3da20e41eeb64b__synth_noise_dst_1,164.138614,162.64122087897655,265,one_to_one,0.2526,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_de9689226f3841__r7fam00__inst01__synth_split_src,bnb_flow_d5e65f2a5b254d__synth_split_a,0.06,0.012,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.012,0.012,
eth_flow_de9689226f3841__r7fam00__inst01__synth_split_src,bnb_flow_d5e65f2a5b254d__synth_split_b,0.06,0.012,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.012,0.012,
eth_flow_de9689226f3841__r7fam00__inst01__synth_split_src,bnb_flow_d5e65f2a5b254d__synth_split_c,0.06,0.012,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.012,0.012,
eth_flow_de9689226f3841__r7fam00__inst01__synth_split_src,bnb_flow_d5e65f2a5b254d__synth_split_d,0.06,0.012,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.012,0.012,
eth_flow_de9689226f3841__r7fam00__inst01__synth_split_src,bnb_flow_d5e65f2a5b254d__synth_split_e,0.06,0.012,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.012,0.012,
eth_flow_de9689226f3841__r7fam00__inst01__synth_merge_src1,bnb_flow_d5e65f2a5b254d__synth_merge_dst,0.03,0.06,125.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,0.03,0.03,
eth_flow_de9689226f3841__r7fam00__inst01__synth_merge_src2,bnb_flow_d5e65f2a5b254d__synth_merge_dst,0.03,0.06,125.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,0.03,0.03,
