src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,src_chain,dst_chain,bridge,src_token,dst_token,asset_group,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_split_src,bnb_flow_0xb1ad8baf387c__synth_split_a,147.746,49.24866666666667,-1022,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,49.24866666666667,49.24866666666667,
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_split_src,bnb_flow_0xb1ad8baf387c__synth_split_b,147.746,49.24866666666667,-1022,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,49.24866666666667,49.24866666666667,
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_split_src,bnb_flow_0xb1ad8baf387c__synth_split_c,147.746,49.24866666666667,-1022,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,49.24866666666667,49.24866666666667,
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_merge_src1,bnb_flow_0xb1ad8baf387c__synth_merge_dst,73.873,147.746,-1022,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_merge,,73.873,73.873,
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_merge_src2,bnb_flow_0xb1ad8baf387c__synth_merge_dst,73.873,147.746,-1022,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_merge,,73.873,73.873,
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_unmatched_src,bnb_flow_0xb1ad8baf387c__synth_hidden_dst,147.746,0,-1022,one_to_one,0.2,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_unmatched,,,0,0
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_noise_src_0,bnb_flow_0xb1ad8baf387c__synth_noise_dst_0,147.746,146.846,-962,one_to_one,0.234,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_delay_noise,,,,
eth_flow_0x88f3c6fa1d7a__r7fam00__inst00__synth_noise_src_1,bnb_flow_0xb1ad8baf387c__synth_noise_dst_1,147.746,146.846,-902,one_to_one,0.2387,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_delay_noise,,,,
eth_flow_0x09e505a506fb__r7fam00__inst01__synth_split_src,bnb_flow_0x19a934b8443b__synth_split_a,100.0,33.333333333333336,-555,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,33.333333333333336,33.333333333333336,
eth_flow_0x09e505a506fb__r7fam00__inst01__synth_split_src,bnb_flow_0x19a934b8443b__synth_split_b,100.0,33.333333333333336,-555,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,33.333333333333336,33.333333333333336,
