src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,src_chain,dst_chain,bridge,src_token,dst_token,asset_group,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_0x12d079d19b14__r7fam00__inst00__synth_split_src,bnb_flow_0xdd441a54fd06__synth_split_a,1.7022103034448608,0.8511051517224304,177,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.8511051517224304,0.8511051517224304,
eth_flow_0x12d079d19b14__r7fam00__inst00__synth_split_src,bnb_flow_0xdd441a54fd06__synth_split_b,1.7022103034448608,0.8511051517224304,177,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.8511051517224304,0.8511051517224304,
eth_flow_0x12d079d19b14__r7fam00__inst00__synth_merge_src1,bnb_flow_0xdd441a54fd06__synth_merge_dst,0.8511051517224304,1.7022103034448608,177,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_merge,,0.8511051517224304,0.8511051517224304,
eth_flow_0x12d079d19b14__r7fam00__inst00__synth_merge_src2,bnb_flow_0xdd441a54fd06__synth_merge_dst,0.8511051517224304,1.7022103034448608,177,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_merge,,0.8511051517224304,0.8511051517224304,
eth_flow_0x12d079d19b14__r7fam00__inst00__synth_unmatched_src,bnb_flow_0xdd441a54fd06__synth_hidden_dst,1.7022103034448608,0,177,one_to_one,0.2,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_unmatched,,,0,0
eth_flow_0x12d079d19b14__r7fam00__inst00__synth_noise_src_0,bnb_flow_0xdd441a54fd06__synth_noise_dst_0,1.7022103034448608,1.7022103034448608,237,one_to_one,0.2482,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_delay_noise,,,,
eth_flow_0x12d079d19b14__r7fam00__inst00__synth_noise_src_1,bnb_flow_0xdd441a54fd06__synth_noise_dst_1,1.7022103034448608,1.7022103034448608,297,one_to_one,0.2321,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_delay_noise,,,,
eth_flow_0x398eeccc10c5__r7fam00__inst01__synth_split_src,bnb_flow_0x097e08492724__synth_split_a,0.9882611584399206,0.4941305792199603,192,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.4941305792199603,0.4941305792199603,
eth_flow_0x398eeccc10c5__r7fam00__inst01__synth_split_src,bnb_flow_0x097e08492724__synth_split_b,0.9882611584399206,0.4941305792199603,192,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.4941305792199603,0.4941305792199603,
eth_flow_0x398eeccc10c5__r7fam00__inst01__synth_merge_src1,bnb_flow_0x097e08492724__synth_merge_dst,0.4941305792199603,0.9882611584399206,192,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_merge,,0.4941305792199603,0.4941305792199603,
eth_flow_0x398eeccc10c5__r7fam00__inst01__synth_merge_src2,bnb_flow_0x097e08492724__synth_merge_dst,0.4941305792199603,0.9882611584399206,192,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_merge,,0.4941305792199603,0.4941305792199603,
eth_flow_0x398eeccc10c5__r7fam00__inst01__synth_unmatched_src,bnb_flow_0x097e08492724__synth_hidden_dst,0.9882611584399206,0,192,one_to_one,0.2,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_unmatched,,,0,0
eth_flow_0x398eeccc10c5__r7fam00__inst01__synth_noise_src_0,bnb_flow_0x097e08492724__synth_noise_dst_0,0.9882611584399206,0.9882611584399206,252,one_to_one,0.2269,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_delay_noise,,,,
eth_flow_0x398eeccc10c5__r7fam00__inst01__synth_noise_src_1,bnb_flow_0x097e08492724__synth_noise_dst_1,0.9882611584399206,0.9882611584399206,312,one_to_one,0.2436,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_delay_noise,,,,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_a,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_b,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_c,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_d,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_e,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_f,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_g,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_split_src,bnb_flow_0xdf821dc693bd__synth_split_h,1.6243320952363365,0.20304151190454206,211,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.20304151190454206,0.20304151190454206,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_merge_src1,bnb_flow_0xdf821dc693bd__synth_merge_dst,0.8121660476181682,1.6243320952363365,211,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_merge,,0.8121660476181682,0.8121660476181682,
eth_flow_0xcbc14d34cf9f__r7fam01__inst00__synth_merge_src2,bnb_flow_0xdf821dc693bd__synth_merge_dst,0.8121660476181682,1.6243320952363365,211,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_merge,,0.8121660476181682,0.8121660476181682,
