chain,bridge,flow_id,tx_hashes,address_set,primary_address,token_contracts,token_symbols,asset_group,route_id,start_time,end_time,tx_count,raw_amount_sum,human_amount_sum,usd_amount_sum,aml_score_mean,aml_score_max,evidence_quality_mean,flow_construction_rule
ETH,Poly,eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_split_src,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d,0x5d285f735998f36631f678ff41fb56a10a4d0429|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x5d285f735998f36631f678ff41fb56a10a4d0429,MIX,MIX,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d_MIX,1661139378,1661139378,1,4.418964570664886e+23,441896.4570664886,0.7181456708197331,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_merge_src1,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d,0x5d285f735998f36631f678ff41fb56a10a4d0429|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x5d285f735998f36631f678ff41fb56a10a4d0429,MIX,MIX,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d_MIX,1661139378,1661139378,1,2.209482285332443e+23,220948.2285332443,0.35907283540986656,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_merge_src2,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d,0x5d285f735998f36631f678ff41fb56a10a4d0429|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x5d285f735998f36631f678ff41fb56a10a4d0429,MIX,MIX,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d_MIX,1661139378,1661139378,1,2.209482285332443e+23,220948.2285332443,0.35907283540986656,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_unmatched_src,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d,0x5d285f735998f36631f678ff41fb56a10a4d0429|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x5d285f735998f36631f678ff41fb56a10a4d0429,MIX,MIX,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d_MIX,1661139378,1661139378,1,4.418964570664886e+23,441896.4570664886,0.7181456708197331,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_noise_src_0,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d,0x5d285f735998f36631f678ff41fb56a10a4d0429|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x5d285f735998f36631f678ff41fb56a10a4d0429,MIX,MIX,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d_MIX,1661139378,1661139378,1,4.418964570664886e+23,441896.4570664886,0.7181456708197331,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_noise_src_1,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d,0x5d285f735998f36631f678ff41fb56a10a4d0429|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x5d285f735998f36631f678ff41fb56a10a4d0429,MIX,MIX,0xf260f68a9bfae9287ffa76977df200222156c28a7b6229a0388df20d3c0ff95d_MIX,1661139378,1661139378,1,4.418964570664886e+23,441896.4570664886,0.7181456708197331,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_split_src,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918_PKR,1650505008,1650505008,1,9.657135759151085e+22,96571.35759151084,2.1234438398252435,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_merge_src1,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918_PKR,1650505008,1650505008,1,4.8285678795755425e+22,48285.67879575542,1.0617219199126218,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_merge_src2,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918_PKR,1650505008,1650505008,1,4.8285678795755425e+22,48285.67879575542,1.0617219199126218,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_unmatched_src,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918_PKR,1650505008,1650505008,1,9.657135759151085e+22,96571.35759151084,2.1234438398252435,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_noise_src_0,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918_PKR,1650505008,1650505008,1,9.657135759151085e+22,96571.35759151084,2.1234438398252435,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_noise_src_1,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0xb4d7943c5d74cb35f5c5e9b5e5fa2c4b0074f2ce416b85c5b7b4d242fc203918_PKR,1650505008,1650505008,1,9.657135759151085e+22,96571.35759151084,2.1234438398252435,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_split_src,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab_PKR,1647906461,1647906461,1,5.107327720494949e+22,51073.27720494949,1.1230165813685369,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_merge_src1,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab_PKR,1647906461,1647906461,1,2.5536638602474743e+22,25536.638602474744,0.5615082906842684,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_merge_src2,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab_PKR,1647906461,1647906461,1,2.5536638602474743e+22,25536.638602474744,0.5615082906842684,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_unmatched_src,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab_PKR,1647906461,1647906461,1,5.107327720494949e+22,51073.27720494949,1.1230165813685369,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_noise_src_0,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab_PKR,1647906461,1647906461,1,5.107327720494949e+22,51073.27720494949,1.1230165813685369,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_noise_src_1,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x81910675dbaf69dee0fd77570bfd07f8e436386a|0xc825dd260adc29b078eb4135679f22adb381488c,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0x9a1ca3f9988d60c400669baa8d94084d220c77ffb37e6fe41a59288712cc31ab_PKR,1647906461,1647906461,1,5.107327720494949e+22,51073.27720494949,1.1230165813685369,16.279070,16.279070,0.800000,bridge_deposit_flow
ETH,Poly,eth_flow_0x4d49e49f3b22__r7fam01__inst01__synth_split_src,0x4d49e49f3b227adcdabc7024500f394de068ab0a868c201f724aa24dd3fee0f1,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c|0x1457158b51acfa762506add16c87760a2fefbdac|0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x81910675dbaf69dee0fd77570bfd07f8e436386a,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,PKR,PKR,0x4d49e49f3b227adcdabc7024500f394de068ab0a868c201f724aa24dd3fee0f1_PKR,1651238910,1651238910,1,4.06111256551724e+22,40611.125655172415,0.8929712365193604,16.279070,16.279070,0.800000,bridge_deposit_flow
