src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,bridge,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_split_src,bnb_flow_a903a6be4a4a41__synth_split_a,17.608,5.8693333333333335,132.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,5.8693333333333335,5.8693333333333335,
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_split_src,bnb_flow_a903a6be4a4a41__synth_split_b,17.608,5.8693333333333335,132.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,5.8693333333333335,5.8693333333333335,
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_split_src,bnb_flow_a903a6be4a4a41__synth_split_c,17.608,5.8693333333333335,132.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,5.8693333333333335,5.8693333333333335,
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_merge_src1,bnb_flow_a903a6be4a4a41__synth_merge_dst,8.804,17.608,132.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,8.804,8.804,
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_merge_src2,bnb_flow_a903a6be4a4a41__synth_merge_dst,8.804,17.608,132.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,8.804,8.804,
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_unmatched_src,bnb_flow_a903a6be4a4a41__synth_hidden_dst,17.608,0,132.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_noise_src_0,bnb_flow_a903a6be4a4a41__synth_noise_dst_0,17.608,8.800605314304388,192,one_to_one,0.2573,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_0c8e70ebba744b__r7fam00__inst00__synth_noise_src_1,bnb_flow_a903a6be4a4a41__synth_noise_dst_1,17.608,8.800605314304388,252,one_to_one,0.2245,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_6b5091c635e549__r7fam00__inst01__synth_split_src,bnb_flow_e623eeaab7274f__synth_split_a,0.24,0.12,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.12,0.12,
eth_flow_6b5091c635e549__r7fam00__inst01__synth_split_src,bnb_flow_e623eeaab7274f__synth_split_b,0.24,0.12,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.12,0.12,
eth_flow_6b5091c635e549__r7fam00__inst01__synth_merge_src1,bnb_flow_e623eeaab7274f__synth_merge_dst,0.12,0.24,125.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,0.12,0.12,
eth_flow_6b5091c635e549__r7fam00__inst01__synth_merge_src2,bnb_flow_e623eeaab7274f__synth_merge_dst,0.12,0.24,125.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,0.12,0.12,
eth_flow_6b5091c635e549__r7fam00__inst01__synth_unmatched_src,bnb_flow_e623eeaab7274f__synth_hidden_dst,0.24,0,125.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_6b5091c635e549__r7fam00__inst01__synth_noise_src_0,bnb_flow_e623eeaab7274f__synth_noise_dst_0,0.24,0.1198699685291628,185,one_to_one,0.2291,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_6b5091c635e549__r7fam00__inst01__synth_noise_src_1,bnb_flow_e623eeaab7274f__synth_noise_dst_1,0.24,0.1198699685291628,245,one_to_one,0.2509,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_876d87a9e8674d__r7fam01__inst00__synth_split_src,bnb_flow_8c3c017a4e2942__synth_split_a,223.83886018110832,111.91943009055416,172.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,111.91943009055416,111.91943009055416,
eth_flow_876d87a9e8674d__r7fam01__inst00__synth_split_src,bnb_flow_8c3c017a4e2942__synth_split_b,223.83886018110832,111.91943009055416,172.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,111.91943009055416,111.91943009055416,
eth_flow_876d87a9e8674d__r7fam01__inst00__synth_merge_src1,bnb_flow_8c3c017a4e2942__synth_merge_dst,111.91943009055416,223.83886018110832,172.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,111.91943009055416,111.91943009055416,
eth_flow_876d87a9e8674d__r7fam01__inst00__synth_merge_src2,bnb_flow_8c3c017a4e2942__synth_merge_dst,111.91943009055416,223.83886018110832,172.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,111.91943009055416,111.91943009055416,
eth_flow_876d87a9e8674d__r7fam01__inst00__synth_unmatched_src,bnb_flow_8c3c017a4e2942__synth_hidden_dst,223.83886018110832,0,172.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_876d87a9e8674d__r7fam01__inst00__synth_noise_src_0,bnb_flow_8c3c017a4e2942__synth_noise_dst_0,223.83886018110832,223.6540252833212,232,one_to_one,0.254,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_876d87a9e8674d__r7fam01__inst00__synth_noise_src_1,bnb_flow_8c3c017a4e2942__synth_noise_dst_1,223.83886018110832,223.6540252833212,292,one_to_one,0.2277,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
