bridge,seed,template_id,truth_side,representation_side
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,1,1
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,1,1
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,1,1
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,1,1
Celer,411,eth_flow_054c745cdc2d44__r7fam16__inst01,1,1
Celer,411,eth_flow_0572088b25d54f__r7fam00__inst00,1,1
Celer,411,eth_flow_0cf4dd01427345__r7fam17__inst00,1,1
Celer,411,eth_flow_1e9cb8b4d2c543__r7fam03__inst00,1,1
Celer,411,eth_flow_214404232c3349__r7fam04__inst00,1,1
Celer,411,eth_flow_219693e8af3249__r7fam18__inst01,1,1
Celer,411,eth_flow_23d54d032f2942__r7fam21__inst00,1,1
Celer,411,eth_flow_246d4aebaf7543__r7fam01__inst01,1,1
Celer,411,eth_flow_31cb52c9dcc94f__r7fam18__inst00,1,1
Celer,411,eth_flow_45822daf729e4c__r7fam08__inst00,1,1
Celer,411,eth_flow_4761deb832554c__r7fam09__inst00,1,1
Celer,411,eth_flow_49dbc9b90b084d__r7fam06__inst01,1,1
Celer,411,eth_flow_4acfee6b7d2445__r7fam19__inst00,1,1
Celer,411,eth_flow_4bd477eec1fb46__r7fam11__inst00,1,1
Celer,411,eth_flow_4e780074a04e45__r7fam10__inst00,1,1
Celer,411,eth_flow_4fa224ae2bf049__r7fam19__inst01,1,1
Celer,411,eth_flow_559215ca5a0e47__r7fam14__inst01,1,1
Celer,411,eth_flow_60c66d0fd0cf4d__r7fam05__inst00,1,1
Celer,411,eth_flow_61e08a498e1445__r7fam13__inst00,1,1
Celer,411,eth_flow_624fb63b191441__r7fam03__inst01,1,1
Celer,411,eth_flow_76f6d8fa401441__r7fam17__inst01,1,1
Celer,411,eth_flow_794022e8d11647__r7fam09__inst01,1,1
Celer,411,eth_flow_7b054ff7c30244__r7fam02__inst01,1,1
Celer,411,eth_flow_7beae1c3891246__r7fam23__inst00,1,1
Celer,411,eth_flow_86e8a4794a5e4b__r7fam21__inst01,1,1
Celer,411,eth_flow_95a1277d542b44__r7fam22__inst00,1,1
Celer,411,eth_flow_966b1ec76a2d4b__r7fam15__inst01,1,1
Celer,411,eth_flow_9cf93decbc9943__r7fam01__inst00,1,1
Celer,411,eth_flow_9e09ea3720004e__r7fam20__inst01,1,1
Celer,411,eth_flow_a25e995e05394e__r7fam06__inst00,1,1
Celer,411,eth_flow_abf16e3cc7024a__r7fam07__inst01,1,1
Celer,411,eth_flow_ae86098b33bb40__r7fam14__inst00,1,1
Celer,411,eth_flow_b4506cb8fd4143__r7fam11__inst01,1,1
Celer,411,eth_flow_b954fd68e20f42__r7fam04__inst01,1,1
Celer,411,eth_flow_b978a5cd4b634e__r7fam10__inst01,1,1
Celer,411,eth_flow_d620056ef75f49__r7fam02__inst00,1,1
Celer,411,eth_flow_d9fb398c316548__r7fam23__inst01,1,1
Celer,411,eth_flow_dcbe00a81dec43__r7fam00__inst01,1,1
Celer,411,eth_flow_ea3a0da30d3549__r7fam22__inst01,1,1
Celer,411,eth_flow_ec6140417fa04c__r7fam07__inst00,1,1
Celer,411,eth_flow_ef2642ee0c9840__r7fam12__inst00,1,1
Celer,411,eth_flow_fb4a55fbad5545__r7fam16__inst00,1,1
Celer,411,eth_flow_fbcd8d41470844__r7fam20__inst00,1,1
Celer,411,eth_flow_fc5fa07725af48__r7fam13__inst01,1,1
Celer,412,eth_flow_00902dc9165943__r7fam16__inst00,1,1
Celer,412,eth_flow_12316bf12c994c__r7fam02__inst00,1,1
Celer,412,eth_flow_1bab5df610504e__r7fam19__inst01,1,1
Celer,412,eth_flow_1c2f0f3b64354a__r7fam17__inst00,1,1
Celer,412,eth_flow_1dda96ff0afa4f__r7fam06__inst01,1,1
Celer,412,eth_flow_1ea96754f5da49__r7fam11__inst01,1,1
Celer,412,eth_flow_27c8808558ef44__r7fam07__inst01,1,1
