bridge,seed,template_id,source_id,truth_unmatched,has_positive_truth_edge,delta_s,total_delta_s,delta_s_share,rank_delta_s,is_top1,informative_total,provenance
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,eth_flow_00161cd727324b__r7fam12__inst01__synth_split_src,0,1,0.00016198378882574595,0.0008099189441287297,0.2,1,1,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,eth_flow_00161cd727324b__r7fam12__inst01__synth_merge_src1,0,1,8.099189441287297e-05,0.0008099189441287297,0.1,5,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,eth_flow_00161cd727324b__r7fam12__inst01__synth_merge_src2,0,1,8.099189441287297e-05,0.0008099189441287297,0.1,6,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,eth_flow_00161cd727324b__r7fam12__inst01__synth_unmatched_src,1,0,0.00016198378882574595,0.0008099189441287297,0.2,2,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,eth_flow_00161cd727324b__r7fam12__inst01__synth_noise_src_0,0,1,0.00016198378882574595,0.0008099189441287297,0.2,3,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,eth_flow_00161cd727324b__r7fam12__inst01__synth_noise_src_1,0,1,0.00016198378882574595,0.0008099189441287297,0.2,4,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,eth_flow_009618ebace54b__r7fam08__inst01__synth_split_src,0,1,0.00010126120466521699,0.000506306023326085,0.19999999999999998,1,1,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,eth_flow_009618ebace54b__r7fam08__inst01__synth_merge_src1,0,1,5.0630602332608495e-05,0.000506306023326085,0.09999999999999999,6,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,eth_flow_009618ebace54b__r7fam08__inst01__synth_merge_src2,0,1,5.0630602332608535e-05,0.000506306023326085,0.10000000000000007,5,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,eth_flow_009618ebace54b__r7fam08__inst01__synth_unmatched_src,1,0,0.00010126120466521699,0.000506306023326085,0.19999999999999998,2,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,eth_flow_009618ebace54b__r7fam08__inst01__synth_noise_src_0,0,1,0.00010126120466521699,0.000506306023326085,0.19999999999999998,3,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,eth_flow_009618ebace54b__r7fam08__inst01__synth_noise_src_1,0,1,0.00010126120466521699,0.000506306023326085,0.19999999999999998,4,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,eth_flow_033eecbf9d3147__r7fam05__inst01__synth_split_src,0,1,2.3038714400875466e-06,1.1519357200437732e-05,0.2,1,1,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,eth_flow_033eecbf9d3147__r7fam05__inst01__synth_merge_src1,0,1,1.1519357200437733e-06,1.1519357200437732e-05,0.1,5,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,eth_flow_033eecbf9d3147__r7fam05__inst01__synth_merge_src2,0,1,1.1519357200437733e-06,1.1519357200437732e-05,0.1,6,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,eth_flow_033eecbf9d3147__r7fam05__inst01__synth_unmatched_src,1,0,2.3038714400875466e-06,1.1519357200437732e-05,0.2,2,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,eth_flow_033eecbf9d3147__r7fam05__inst01__synth_noise_src_0,0,1,2.3038714400875466e-06,1.1519357200437732e-05,0.2,3,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,eth_flow_033eecbf9d3147__r7fam05__inst01__synth_noise_src_1,0,1,2.3038714400875466e-06,1.1519357200437732e-05,0.2,4,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,eth_flow_0547dd5de77a46__r7fam15__inst00__synth_split_src,0,1,0.0002485300914255662,0.001242650457127831,0.2,1,1,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,eth_flow_0547dd5de77a46__r7fam15__inst00__synth_merge_src1,0,1,0.0001242650457127831,0.001242650457127831,0.1,5,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,eth_flow_0547dd5de77a46__r7fam15__inst00__synth_merge_src2,0,1,0.0001242650457127831,0.001242650457127831,0.1,6,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,eth_flow_0547dd5de77a46__r7fam15__inst00__synth_unmatched_src,1,0,0.0002485300914255662,0.001242650457127831,0.2,2,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,eth_flow_0547dd5de77a46__r7fam15__inst00__synth_noise_src_0,0,1,0.0002485300914255662,0.001242650457127831,0.2,3,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,eth_flow_0547dd5de77a46__r7fam15__inst00__synth_noise_src_1,0,1,0.0002485300914255662,0.001242650457127831,0.2,4,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_054c745cdc2d44__r7fam16__inst01,eth_flow_054c745cdc2d44__r7fam16__inst01__synth_split_src,0,1,0.0004269008661151308,0.0021345043305756543,0.19999999999999998,1,1,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_054c745cdc2d44__r7fam16__inst01,eth_flow_054c745cdc2d44__r7fam16__inst01__synth_merge_src1,0,1,0.0002134504330575654,0.0021345043305756543,0.09999999999999999,5,0,1,frozen confirmatory/raw margin_mass.delta_S
Celer,411,eth_flow_054c745cdc2d44__r7fam16__inst01,eth_flow_054c745cdc2d44__r7fam16__inst01__synth_merge_src2,0,1,0.0002134504330575654,0.0021345043305756543,0.09999999999999999,6,0,1,frozen confirmatory/raw margin_mass.delta_S
