bridge,seed,template_id,n_sources,n_targets,true_unmatched_source_id,unmatched_source_delta_share,source_top1_hit,source_tie_aware_top1,source_auc_template,n_matched_sources,chance_top1,tied_at_max_count,decoy_target_1,decoy_target_2,decoy_combined_delta_share,decoy_top2_both_hit,decoy_top2_any_hit,chance_decoy_share,total_delta_s,total_delta_t,zero_delta_s,zero_delta_t
Celer,411,eth_flow_00161cd727324b__r7fam12__inst01,6,6,eth_flow_00161cd727324b__r7fam12__inst01__synth_unmatched_src,0.2,0,1,0.7,5,0.16666666666666666,4,bnb_flow_12afe342512340__synth_noise_dst_0,bnb_flow_12afe342512340__synth_noise_dst_1,0.4009455958661873,1,1,0.3333333333333333,0.0008099189441287297,0.0008683198608516708,0,0
Celer,411,eth_flow_009618ebace54b__r7fam08__inst01,6,6,eth_flow_009618ebace54b__r7fam08__inst01__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_a1934eb271d240__synth_noise_dst_0,bnb_flow_a1934eb271d240__synth_noise_dst_1,0.400889750647708,1,1,0.3333333333333333,0.000506306023326085,0.0005401803807485824,0,0
Celer,411,eth_flow_033eecbf9d3147__r7fam05__inst01,6,6,eth_flow_033eecbf9d3147__r7fam05__inst01__synth_unmatched_src,0.2,0,1,0.7,5,0.16666666666666666,4,bnb_flow_d74237157f2848__synth_noise_dst_0,bnb_flow_d74237157f2848__synth_noise_dst_1,0.40055886787447437,1,1,0.3333333333333333,1.1519357200437732e-05,1.1090862801033873e-05,0,0
Celer,411,eth_flow_0547dd5de77a46__r7fam15__inst00,6,8,eth_flow_0547dd5de77a46__r7fam15__inst00__synth_unmatched_src,0.2,0,1,0.7,5,0.16666666666666666,4,bnb_flow_3ddb9015a20447__synth_noise_dst_0,bnb_flow_3ddb9015a20447__synth_noise_dst_1,0.4011152394864428,1,1,0.25,0.001242650457127831,0.0012389060961089417,0,0
Celer,411,eth_flow_054c745cdc2d44__r7fam16__inst01,6,6,eth_flow_054c745cdc2d44__r7fam16__inst01__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_1d464e570f234f__synth_noise_dst_0,bnb_flow_1d464e570f234f__synth_noise_dst_1,0.4010666687935073,1,1,0.3333333333333333,0.0021345043305756543,0.002313919776630115,0,0
Celer,411,eth_flow_0572088b25d54f__r7fam00__inst00,6,6,eth_flow_0572088b25d54f__r7fam00__inst00__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_c72e6c6cb1394d__synth_noise_dst_0,bnb_flow_c72e6c6cb1394d__synth_noise_dst_1,0.4007111719820019,1,1,0.3333333333333333,5.9965214221938e-05,5.8859132721096313e-05,0,0
Celer,411,eth_flow_0cf4dd01427345__r7fam17__inst00,6,7,eth_flow_0cf4dd01427345__r7fam17__inst00__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_1d8d50dfcdaf4e__synth_noise_dst_0,bnb_flow_1d8d50dfcdaf4e__synth_noise_dst_1,0.4011748081318747,1,1,0.2857142857142857,0.0015685586646730586,0.001551469372723977,0,0
Celer,411,eth_flow_1e9cb8b4d2c543__r7fam03__inst00,6,7,eth_flow_1e9cb8b4d2c543__r7fam03__inst00__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_16f27cd36db947__synth_noise_dst_0,bnb_flow_16f27cd36db947__synth_noise_dst_1,0.40083312367047463,1,1,0.2857142857142857,3.7299664516854544e-05,3.179627049257425e-05,0,0
Celer,411,eth_flow_214404232c3349__r7fam04__inst00,6,7,eth_flow_214404232c3349__r7fam04__inst00__synth_unmatched_src,0.2,0,1,0.7,5,0.16666666666666666,4,bnb_flow_0129ba04306847__synth_noise_dst_0,bnb_flow_0129ba04306847__synth_noise_dst_1,0.4007535191570234,1,1,0.2857142857142857,0.00012284019285300932,0.00012828592706567792,0,0
Celer,411,eth_flow_219693e8af3249__r7fam18__inst01,6,7,eth_flow_219693e8af3249__r7fam18__inst01__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_4709ae9732ba49__synth_noise_dst_0,bnb_flow_4709ae9732ba49__synth_noise_dst_1,0.40140299778857386,1,1,0.2857142857142857,0.013409680930631641,0.014870049188836932,0,0
Celer,411,eth_flow_23d54d032f2942__r7fam21__inst00,6,7,eth_flow_23d54d032f2942__r7fam21__inst00__synth_unmatched_src,0.2,0,1,0.7,5,0.16666666666666666,4,bnb_flow_c52abfbb7bd949__synth_noise_dst_0,bnb_flow_c52abfbb7bd949__synth_noise_dst_1,0.4012003976035402,1,1,0.2857142857142857,0.0036120696307886707,0.003798371594244418,0,0
Celer,411,eth_flow_246d4aebaf7543__r7fam01__inst01,6,6,eth_flow_246d4aebaf7543__r7fam01__inst01__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_176523ef37c540__synth_noise_dst_0,bnb_flow_176523ef37c540__synth_noise_dst_1,0.4007854326927673,1,1,0.3333333333333333,0.00012788927877866146,0.0001257171885594537,0,0
Celer,411,eth_flow_31cb52c9dcc94f__r7fam18__inst00,6,6,eth_flow_31cb52c9dcc94f__r7fam18__inst00__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_cc73e45dd06c47__synth_noise_dst_0,bnb_flow_cc73e45dd06c47__synth_noise_dst_1,0.40155115243405365,1,1,0.3333333333333333,0.008693828732704793,0.00855579113102135,0,0
Celer,411,eth_flow_45822daf729e4c__r7fam08__inst00,6,6,eth_flow_45822daf729e4c__r7fam08__inst00__synth_unmatched_src,0.2,0,1,0.7,5,0.16666666666666666,4,bnb_flow_44848ded3f6c4c__synth_noise_dst_0,bnb_flow_44848ded3f6c4c__synth_noise_dst_1,0.40087007209751774,1,1,0.3333333333333333,0.0004217036065214271,0.0004488204222168565,0,0
Celer,411,eth_flow_4761deb832554c__r7fam09__inst00,6,7,eth_flow_4761deb832554c__r7fam09__inst00__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_b8867f9fe9d644__synth_noise_dst_0,bnb_flow_b8867f9fe9d644__synth_noise_dst_1,0.4008047743109718,1,1,0.2857142857142857,0.00021820624911934617,0.0002298815560093124,0,0
Celer,411,eth_flow_49dbc9b90b084d__r7fam06__inst01,6,6,eth_flow_49dbc9b90b084d__r7fam06__inst01__synth_unmatched_src,0.19999999999999998,0,1,0.7,5,0.16666666666666666,4,bnb_flow_73a6964ebc8644__synth_noise_dst_0,bnb_flow_73a6964ebc8644__synth_noise_dst_1,0.4007920100024347,1,1,0.3333333333333333,0.00018139195826722966,0.00019035103007192247,0,0
Celer,411,eth_flow_4acfee6b7d2445__r7fam19__inst00,6,6,eth_flow_4acfee6b7d2445__r7fam19__inst00__synth_unmatched_src,0.2,0,1,0.7,5,0.16666666666666666,4,bnb_flow_f3dd645cfff94a__synth_noise_dst_0,bnb_flow_f3dd645cfff94a__synth_noise_dst_1,0.4016773509458094,1,1,0.3333333333333333,0.010106329166082468,0.009583394115477458,0,0
