src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,bridge,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_a,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_b,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_c,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_d,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_e,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_f,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_g,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_split_src,bnb_flow_d754785b94674c__synth_split_h,153.50698,19.1883725,162.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,19.1883725,19.1883725,
eth_flow_01e48705606942__r7fam00__inst00__synth_merge_src1,bnb_flow_d754785b94674c__synth_merge_dst,76.75349,153.50698,162.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,76.75349,76.75349,
eth_flow_01e48705606942__r7fam00__inst00__synth_merge_src2,bnb_flow_d754785b94674c__synth_merge_dst,76.75349,153.50698,162.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,76.75349,76.75349,
