src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,src_chain,dst_chain,bridge,src_token,dst_token,asset_group,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_0x43baad853004__r7fam00__inst00__synth_split_src,bnb_flow_0x4eae11dcc4f5__synth_split_a,221.63,110.815,-390,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,110.815,110.815,
eth_flow_0x43baad853004__r7fam00__inst00__synth_split_src,bnb_flow_0x4eae11dcc4f5__synth_split_b,221.63,110.815,-390,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,110.815,110.815,
eth_flow_0x43baad853004__r7fam00__inst00__synth_merge_src1,bnb_flow_0x4eae11dcc4f5__synth_merge_dst,110.815,221.63,-390,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_merge,,110.815,110.815,
eth_flow_0x43baad853004__r7fam00__inst00__synth_merge_src2,bnb_flow_0x4eae11dcc4f5__synth_merge_dst,110.815,221.63,-390,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_merge,,110.815,110.815,
eth_flow_0x43baad853004__r7fam00__inst00__synth_unmatched_src,bnb_flow_0x4eae11dcc4f5__synth_hidden_dst,221.63,0,-390,one_to_one,0.2,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_unmatched,,,0,0
eth_flow_0x43baad853004__r7fam00__inst00__synth_noise_src_0,bnb_flow_0x4eae11dcc4f5__synth_noise_dst_0,221.63,220.73,-330,one_to_one,0.2571,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_delay_noise,,,,
eth_flow_0x43baad853004__r7fam00__inst00__synth_noise_src_1,bnb_flow_0x4eae11dcc4f5__synth_noise_dst_1,221.63,220.73,-270,one_to_one,0.2491,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_delay_noise,,,,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_a,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_b,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_c,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_d,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_e,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_f,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_g,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_split_src,bnb_flow_0xb0a6721fdc15__synth_split_h,106.425,13.303125,-2173,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_split,1,13.303125,13.303125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_merge_src1,bnb_flow_0xb0a6721fdc15__synth_merge_dst,53.2125,106.425,-2173,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_merge,,53.2125,53.2125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_merge_src2,bnb_flow_0xb0a6721fdc15__synth_merge_dst,53.2125,106.425,-2173,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_merge,,53.2125,53.2125,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_unmatched_src,bnb_flow_0xb0a6721fdc15__synth_hidden_dst,106.425,0,-2173,one_to_one,0.2,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_unmatched,,,0,0
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_noise_src_0,bnb_flow_0xb0a6721fdc15__synth_noise_dst_0,106.425,105.525,-2113,one_to_one,0.2396,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_delay_noise,,,,
eth_flow_0x0433d6700a27__r7fam00__inst01__synth_noise_src_1,bnb_flow_0xb0a6721fdc15__synth_noise_dst_1,106.425,105.525,-2053,one_to_one,0.2293,supervised_flow_pair,ETH,BNB,Multi,0x22648c12acd87912ea1710357b1302c6a4154ebc,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,semi_synthetic_delay_noise,,,,
