d_max,n_templates,mean_ceiling,std,boot_ci_lower,boot_ci_upper,value_q025,value_q975,n_Celer,n_Multi,n_Poly,mean_T,mean_M,grouping,stratum,q025,q975
2.0,801,0.7982748836681421,0.011074298547508686,0.7974577233004199,0.7990012484394506,0.8,0.8,254,270,277,6.023720349563046,4.0,exact_degree,,,
3.0,311,0.7262983533079997,0.007634853881004816,0.7253239793432721,0.7270778524797818,0.7272727272727273,0.7272727272727273,114,102,95,7.016077170418006,4.0,exact_degree,,,
4.0,123,0.666249739420471,0.004623946844448364,0.6654158849280801,0.6666666666666666,0.6666666666666666,0.6666666666666666,27,49,47,8.008130081300813,4.0,exact_degree,,,
5.0,66,0.6147186147186147,0.005410614988102545,0.6133866133866134,0.6153846153846153,0.6153846153846154,0.6153846153846154,29,17,20,9.015151515151516,4.0,exact_degree,,,
6.0,35,0.5714285714285715,1.1264315173862113e-16,0.5714285714285715,0.5714285714285715,0.5714285714285714,0.5714285714285714,16,7,12,10.0,4.0,exact_degree,,,
7.0,20,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,6,10,4,11.0,4.0,exact_degree,,,
8.0,84,0.4996498599439776,0.0032090866211175423,0.4989495798319327,0.5,0.5,0.5,34,25,25,12.011904761904763,4.0,exact_degree,,,
,801,0.7982748836681421,0.011074298547508686,,,,,254,270,277,,,binary,d_max=2,0.7974577233004199,0.7990012484394506
,639,0.6588985748057828,0.08195367315665301,,,,,226,210,203,,,binary,d_max>=3,0.6525988333983365,0.6650675638455257
,801,0.7982748836681421,0.011074298547508686,,,,,254,270,277,,,three_bin,A_d2,0.7974577233004199,0.7990012484394506
,434,0.7092799673444836,0.027959846565725716,,,,,141,151,142,,,three_bin,B_d3_4,0.7066267066267067,0.7120513894707442
,205,0.5522374803579967,0.050134657707162404,,,,,85,59,61,,,three_bin,C_d5plus,0.5454022261812792,0.5594282377115948
