"package_path","size_bytes","ext"
"core_results\A_structural\baseline_per_seed_metrics.csv","9407",".csv"
"core_results\A_structural\main_structural_comparison.csv","7702",".csv"
"core_results\A_structural\main_structural_comparison.md","3103",".md"
"core_results\A_structural\per_seed\Celer\seed_42\ablation_metrics.csv","720",".csv"
"core_results\A_structural\per_seed\Celer\seed_42\synthetic_eval_by_scenario.csv","255",".csv"
"core_results\A_structural\per_seed\Celer\seed_42\uot_eval_by_pattern.csv","179",".csv"
"core_results\A_structural\per_seed\Celer\seed_42\uot_evaluation_metrics.json","3050",".json"
"core_results\A_structural\per_seed\Celer\seed_43\ablation_metrics.csv","719",".csv"
"core_results\A_structural\per_seed\Celer\seed_43\synthetic_eval_by_scenario.csv","255",".csv"
"core_results\A_structural\per_seed\Celer\seed_43\uot_eval_by_pattern.csv","180",".csv"
"core_results\A_structural\per_seed\Celer\seed_43\uot_evaluation_metrics.json","3047",".json"
"core_results\A_structural\per_seed\Celer\seed_44\ablation_metrics.csv","704",".csv"
"core_results\A_structural\per_seed\Celer\seed_44\synthetic_eval_by_scenario.csv","225",".csv"
"core_results\A_structural\per_seed\Celer\seed_44\uot_eval_by_pattern.csv","181",".csv"
"core_results\A_structural\per_seed\Celer\seed_44\uot_evaluation_metrics.json","2986",".json"
"core_results\A_structural\per_seed\Celer\seed_45\ablation_metrics.csv","701",".csv"
"core_results\A_structural\per_seed\Celer\seed_45\synthetic_eval_by_scenario.csv","240",".csv"
"core_results\A_structural\per_seed\Celer\seed_45\uot_eval_by_pattern.csv","180",".csv"
"core_results\A_structural\per_seed\Celer\seed_45\uot_evaluation_metrics.json","3013",".json"
"core_results\A_structural\per_seed\Celer\seed_46\ablation_metrics.csv","721",".csv"
"core_results\A_structural\per_seed\Celer\seed_46\synthetic_eval_by_scenario.csv","244",".csv"
"core_results\A_structural\per_seed\Celer\seed_46\uot_eval_by_pattern.csv","179",".csv"
"core_results\A_structural\per_seed\Celer\seed_46\uot_evaluation_metrics.json","3050",".json"
"core_results\A_structural\per_seed\Multi\seed_42\ablation_metrics.csv","706",".csv"
"core_results\A_structural\per_seed\Multi\seed_42\synthetic_eval_by_scenario.csv","228",".csv"
"core_results\A_structural\per_seed\Multi\seed_42\uot_eval_by_pattern.csv","180",".csv"
"core_results\A_structural\per_seed\Multi\seed_42\uot_evaluation_metrics.json","2993",".json"
"core_results\A_structural\per_seed\Multi\seed_43\ablation_metrics.csv","720",".csv"
"core_results\A_structural\per_seed\Multi\seed_43\synthetic_eval_by_scenario.csv","229",".csv"
"core_results\A_structural\per_seed\Multi\seed_43\uot_eval_by_pattern.csv","180",".csv"
"core_results\A_structural\per_seed\Multi\seed_43\uot_evaluation_metrics.json","3019",".json"
"core_results\A_structural\per_seed\Multi\seed_44\ablation_metrics.csv","718",".csv"
"core_results\A_structural\per_seed\Multi\seed_44\synthetic_eval_by_scenario.csv","240",".csv"
"core_results\A_structural\per_seed\Multi\seed_44\uot_eval_by_pattern.csv","180",".csv"
"core_results\A_structural\per_seed\Multi\seed_44\uot_evaluation_metrics.json","3015",".json"
"core_results\A_structural\per_seed\Multi\seed_45\ablation_metrics.csv","688",".csv"
"core_results\A_structural\per_seed\Multi\seed_45\synthetic_eval_by_scenario.csv","195",".csv"
"core_results\A_structural\per_seed\Multi\seed_45\uot_eval_by_pattern.csv","181",".csv"
"core_results\A_structural\per_seed\Multi\seed_45\uot_evaluation_metrics.json","2940",".json"
"core_results\A_structural\per_seed\Multi\seed_46\ablation_metrics.csv","676",".csv"
"core_results\A_structural\per_seed\Multi\seed_46\synthetic_eval_by_scenario.csv","195",".csv"
"core_results\A_structural\per_seed\Multi\seed_46\uot_eval_by_pattern.csv","181",".csv"
"core_results\A_structural\per_seed\Multi\seed_46\uot_evaluation_metrics.json","2905",".json"
"core_results\A_structural\per_seed\Poly\seed_42\ablation_metrics.csv","673",".csv"
"core_results\A_structural\per_seed\Poly\seed_42\synthetic_eval_by_scenario.csv","195",".csv"
"core_results\A_structural\per_seed\Poly\seed_42\uot_eval_by_pattern.csv","181",".csv"
"core_results\A_structural\per_seed\Poly\seed_42\uot_evaluation_metrics.json","2893",".json"
"core_results\A_structural\per_seed\Poly\seed_43\ablation_metrics.csv","659",".csv"
"core_results\A_structural\per_seed\Poly\seed_43\synthetic_eval_by_scenario.csv","195",".csv"
"core_results\A_structural\per_seed\Poly\seed_43\uot_eval_by_pattern.csv","181",".csv"
"core_results\A_structural\per_seed\Poly\seed_43\uot_evaluation_metrics.json","2879",".json"
"core_results\A_structural\per_seed\Poly\seed_44\ablation_metrics.csv","671",".csv"
"core_results\A_structural\per_seed\Poly\seed_44\synthetic_eval_by_scenario.csv","195",".csv"
"core_results\A_structural\per_seed\Poly\seed_44\uot_eval_by_pattern.csv","179",".csv"
"core_results\A_structural\per_seed\Poly\seed_44\uot_evaluation_metrics.json","2889",".json"
"core_results\A_structural\per_seed\Poly\seed_45\ablation_metrics.csv","659",".csv"
"core_results\A_structural\per_seed\Poly\seed_45\synthetic_eval_by_scenario.csv","195",".csv"
"core_results\A_structural\per_seed\Poly\seed_45\uot_eval_by_pattern.csv","181",".csv"
"core_results\A_structural\per_seed\Poly\seed_45\uot_evaluation_metrics.json","2868",".json"
"core_results\A_structural\per_seed\Poly\seed_46\ablation_metrics.csv","673",".csv"
"core_results\A_structural\per_seed\Poly\seed_46\synthetic_eval_by_scenario.csv","195",".csv"
"core_results\A_structural\per_seed\Poly\seed_46\uot_eval_by_pattern.csv","181",".csv"
"core_results\A_structural\per_seed\Poly\seed_46\uot_evaluation_metrics.json","2893",".json"
"core_results\A_structural\RUN_MANIFEST_structural_baseline_study.md","7448",".md"
"core_results\A_structural\RUN_MANIFEST_structural_benchmark.md","6768",".md"
"core_results\A_structural\selected_threshold.json","1564",".json"
"core_results\A_structural\structural_aggregated.csv","306",".csv"
"core_results\A_structural\structural_aggregated.json","444",".json"
"core_results\A_structural\structural_per_seed.csv","1067",".csv"
"core_results\A_structural\structural_per_seed_frozen.csv","1059",".csv"
"core_results\A_structural\structural_recovery_README.md","1643",".md"
"core_results\A_structural\structural_three_bridges.json","1018",".json"
"core_results\A_structural\structural_verification_report.json","9797",".json"
"core_results\A_structural\structural_verification_report.md","2071",".md"
"core_results\B_conditional_decoding\anchor_overlap.json","1959",".json"
"core_results\B_conditional_decoding\ci_sensitivity_resampling_audit_results.json","4076",".json"
"core_results\B_conditional_decoding\cost_diag\FINAL_COST_TRANSPORT_DIAGNOSIS.md","8237",".md"
"core_results\B_conditional_decoding\cost_diag\NEXT_CANDIDATE_SPEC.md","7200",".md"
"core_results\B_conditional_decoding\cost_diag\next_candidate_spec_lock.json","927",".json"
"core_results\B_conditional_decoding\cost_diag\preaudit_hashes.json","29471",".json"
"core_results\B_conditional_decoding\cost_diag\RUN_MANIFEST.md","4272",".md"
"core_results\B_conditional_decoding\cost_diag\verification_report.json","684",".json"
"core_results\B_conditional_decoding\cost_diag\verification_report.md","817",".md"
"core_results\B_conditional_decoding\decoder_comparison\admissible_decoding_manifest.json","1293",".json"
"core_results\B_conditional_decoding\decoder_comparison\admissible_decoding_summary.json","13037",".json"
"core_results\B_conditional_decoding\decoder_comparison\admissible_decoding_tradeoff.csv","2372",".csv"
"core_results\B_conditional_decoding\decoder_comparison\paper_admissible_decoding_main_table_clean.json","5637",".json"
"core_results\B_conditional_decoding\decoder_comparison\paper_admissible_decoding_main_table_clean.md","1597",".md"
"core_results\B_conditional_decoding\decoder_comparison\paper_admissible_decoding_table.md","1962",".md"
"core_results\B_conditional_decoding\dependence_reaudit_results.json","1288",".json"
"core_results\B_conditional_decoding\dual_scaling\FINAL_TRANSPORT_DIAGNOSIS.md","6575",".md"
"core_results\B_conditional_decoding\dual_scaling\HASH_MANIFEST.json","1407",".json"
"core_results\B_conditional_decoding\dual_scaling\mechanism_summary.json","6648",".json"
"core_results\B_conditional_decoding\dual_scaling\NEXT_TRANSPORT_CANDIDATE_OPTIONS.md","6243",".md"
"core_results\B_conditional_decoding\dual_scaling\RUN_MANIFEST.md","3154",".md"
"core_results\B_conditional_decoding\dual_scaling\verification_report.json","672",".json"
"core_results\B_conditional_decoding\dual_scaling\verification_report.md","740",".md"
"core_results\B_conditional_decoding\FINAL_CONFIRMATORY_HOLDOUT_REPORT.md","11171",".md"
"core_results\B_conditional_decoding\statistics.json","4706",".json"
"core_results\B_conditional_decoding\verification.json","747",".json"
"core_results\C_baseline_connector\candidate_pool_audit.json","320",".json"
"core_results\C_baseline_connector\connector_id_anchor_vs_full_native_diff.json","162",".json"
"core_results\C_baseline_connector\decimals_bootstrap_audit.json","5721",".json"
"core_results\C_baseline_connector\degradation_curve_v2.json","2154",".json"
"core_results\C_baseline_connector\degradation_curve_v2.md","687",".md"
"core_results\C_baseline_connector\phase1_vs_v2_prediction_equality_audit.json","690",".json"
"core_results\C_baseline_connector\rejected_v1_vs_v2_full_native_diff.json","165",".json"
"core_results\C_baseline_connector\routeA_v2_consistency_audit.md","7322",".md"
"core_results\C_baseline_connector\routeA_v2_manifest.json","10100",".json"
"core_results\C_baseline_connector\routeA_v2_run_report.md","984",".md"
"core_results\C_baseline_connector\symmetric_masking_protocol_v2.md","516",".md"
"core_results\C_baseline_connector\symmetric_masking_spec_v2.json","1180",".json"
"core_results\C_baseline_table4\audit_phase29.json","11235",".json"
"core_results\C_baseline_table4\balanced_relative_gate.json","1269",".json"
"core_results\C_baseline_table4\claim_boundary_update.md","856",".md"
"core_results\C_baseline_table4\coverage_qualified_summary.json","426",".json"
"core_results\C_baseline_table4\coverage_tier_report.csv","134",".csv"
"core_results\C_baseline_table4\dev_baseline_table.csv","491",".csv"
"core_results\C_baseline_table4\dev_candidate_table.csv","1787",".csv"
"core_results\C_baseline_table4\dev_selection_summary.json","6518",".json"
"core_results\C_baseline_table4\failure_bottleneck_report.md","815",".md"
"core_results\C_baseline_table4\fresh_holdout_baseline_table.csv","438",".csv"
"core_results\C_baseline_table4\fresh_holdout_candidate_table.csv","421",".csv"
"core_results\C_baseline_table4\full_scope_claim_gate.json","96",".json"
"core_results\C_baseline_table4\key_metric_superiority_gate.json","99",".json"
"core_results\C_baseline_table4\metric_win_loss_table.csv","133",".csv"
