bridge,seed,method,n_pred_edges_total,split_exact,merge_exact,deg_acc_split,deg_acc_merge,edge_precision,edge_recall,edge_f1,coverage,n_pred_edges,edge_fp_total,edge_tp_total,edge_fn_total,n_edges_total
Celer,42,RC-UOT-Q,18776,0.0,0.0,0.0,0.0,0.020167233389312377,0.9027777777777777,0.038156491346120786,0.9166666666666666,391.1666666666667,18516,260,28,18776
Celer,42,Threshold-MM,3180,0.0,0.0,0.0,0.0,0.10366901466056277,0.9652777777777777,0.1843929962485478,1.0,66.25,2902,278,10,3180
Celer,42,Balanced-OT,30312,0.0,0.0,0.0,0.020833333333333332,0.016628849365814994,0.9097222222222222,0.02759437259365989,0.9249999999999999,631.5,30050,262,26,30312
Celer,42,Connector-style,288,0.0,0.0,0.0,0.0,0.03472222222222222,0.03472222222222222,0.03472222222222222,1.0,6.0,278,10,278,288
Celer,42,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.03472222222222222,0.03472222222222222,0.03472222222222222,1.0,6.0,278,10,278,288
Celer,43,RC-UOT-Q,27674,0.0,0.0,0.0,0.0,0.016007070882946315,0.9583333333333334,0.03091542591816489,0.9833333333333334,576.5416666666666,27398,276,12,27674
Celer,43,Threshold-MM,3480,0.0,0.0,0.020833333333333332,0.0,0.09503109416789329,0.9722222222222223,0.1681312133524163,0.9916666666666667,72.5,3200,280,8,3480
Celer,43,Balanced-OT,34674,0.0,0.0,0.0,0.0,0.014208494158628676,0.9583333333333334,0.027483558556775433,1.0,722.375,34398,276,12,34674
Celer,43,Connector-style,288,0.0,0.0,0.0,0.0,0.01736111111111111,0.01736111111111111,0.01736111111111111,1.0,6.0,283,5,283,288
Celer,43,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.01736111111111111,0.01736111111111111,0.01736111111111111,1.0,6.0,283,5,283,288
Celer,44,RC-UOT-Q,36268,0.0,0.0,0.0,0.0,0.019951597011319974,0.986111111111111,0.03617823057911086,1.0,755.5833333333334,35984,284,4,36268
Celer,44,Threshold-MM,4260,0.0,0.0,0.020833333333333332,0.0,0.08348819047735138,0.9652777777777778,0.14789228217193587,0.9916666666666667,88.75,3982,278,10,4260
Celer,44,Balanced-OT,42894,0.0,0.0,0.0,0.0,0.012869682883294068,1.0,0.024718555670191253,1.0,893.625,42606,288,0,42894
Celer,44,Connector-style,288,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,1.0,6.0,279,9,279,288
Celer,44,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,1.0,6.0,279,9,279,288
Celer,45,RC-UOT-Q,24694,0.0,0.0,0.0,0.020833333333333332,0.024288259000274648,0.986111111111111,0.04197087492808175,0.9874999999999999,514.4583333333334,24410,284,4,24694
Celer,45,Threshold-MM,3636,0.0,0.0,0.0,0.0,0.0876983066502286,0.9791666666666666,0.15878419902345553,1.0,75.75,3354,282,6,3636
Celer,45,Balanced-OT,29834,0.0,0.0,0.0,0.0,0.016422536288188377,0.9930555555555557,0.031337880114291804,1.0,621.5416666666666,29548,286,2,29834
Celer,45,Connector-style,288,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,1.0,6.0,282,6,282,288
Celer,45,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,1.0,6.0,282,6,282,288
Celer,46,RC-UOT-Q,23332,0.0,0.0,0.0,0.0,0.030161310241978597,0.9722222222222222,0.05481234659936455,0.9791666666666666,486.0833333333333,23052,280,8,23332
Celer,46,Threshold-MM,3080,0.0,0.0,0.0,0.0,0.10201581126888622,0.9722222222222223,0.18233354325230458,1.0,64.16666666666667,2800,280,8,3080
Celer,46,Balanced-OT,27062,0.0,0.0,0.0,0.0,0.019357409941701827,0.9791666666666666,0.03711371050270602,0.9791666666666666,563.7916666666666,26780,282,6,27062
Celer,46,Connector-style,288,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,6.0,280,8,280,288
Celer,46,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,6.0,280,8,280,288
Multi,42,RC-UOT-Q,33766,0.0,0.0,0.0,0.0,0.02014820677549177,0.9513888888888888,0.036716354423301394,1.0,703.4583333333334,33492,274,14,33766
Multi,42,Threshold-MM,3642,0.0,0.0,0.0,0.0,0.07566715949954562,0.8333333333333334,0.13662991457216256,1.0,75.875,3402,240,48,3642
Multi,42,Balanced-OT,39768,0.0,0.0,0.0,0.0,0.013333442939358503,0.9861111111111112,0.025070383915635847,1.0,828.5,39484,284,4,39768
Multi,42,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,42,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.03819444444444445,0.03819444444444445,0.03819444444444445,1.0,6.0,277,11,277,288
Multi,43,RC-UOT-Q,43252,0.0,0.0,0.0,0.0,0.01755988804804222,0.9791666666666666,0.03199827442594511,1.0,901.0833333333334,42970,282,6,43252
Multi,43,Threshold-MM,3608,0.0,0.0,0.0,0.0,0.08247384965741873,0.8888888888888888,0.14913384787862105,1.0,75.16666666666667,3352,256,32,3608
Multi,43,Balanced-OT,54158,0.0,0.0,0.0,0.0,0.010808953142298598,0.986111111111111,0.019597692261767233,1.0,1128.2916666666667,53874,284,4,54158
Multi,43,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,43,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,6.0,280,8,280,288
Multi,44,RC-UOT-Q,48968,0.0,0.0,0.0,0.0,0.013536915361422703,0.986111111111111,0.025149977551803888,1.0,1020.1666666666666,48684,284,4,48968
Multi,44,Threshold-MM,3872,0.0,0.0,0.0,0.0,0.06795676034694507,0.8055555555555557,0.12334628393385094,1.0,80.66666666666667,3640,232,56,3872
Multi,44,Balanced-OT,53664,0.0,0.0,0.0,0.0,0.007612778357826404,1.0,0.014973572114988018,1.0,1118.0,53376,288,0,53664
Multi,44,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,44,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,6.0,276,12,276,288
Multi,45,RC-UOT-Q,50988,0.0,0.0,0.0,0.0,0.014285331838980604,1.0,0.026357365485722515,1.0,1062.25,50700,288,0,50988
Multi,45,Threshold-MM,3514,0.0,0.0,0.0,0.0,0.07731362155941927,0.8472222222222223,0.13990624315686326,1.0,73.20833333333333,3270,244,44,3514
Multi,45,Balanced-OT,57410,0.0,0.0,0.0,0.0,0.009556936791237992,1.0,0.01794441005711256,1.0,1196.0416666666667,57122,288,0,57410
Multi,45,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,45,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.03472222222222222,0.03472222222222222,0.03472222222222222,1.0,6.0,278,10,278,288
Multi,46,RC-UOT-Q,46538,0.0,0.0,0.0,0.0,0.008292583732180385,1.0,0.016340817307304484,1.0,969.5416666666666,46250,288,0,46538
Multi,46,Threshold-MM,3616,0.0,0.0,0.0,0.0,0.07297259269678905,0.8472222222222222,0.13320039680965867,1.0,75.33333333333333,3372,244,44,3616
Multi,46,Balanced-OT,53128,0.0,0.0,0.0,0.0,0.006093036657112001,1.0,0.012100359914259373,1.0,1106.8333333333333,52840,288,0,53128
Multi,46,Connector-style,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,288,0,288,288
Multi,46,ABCTracer-style,288,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,6.0,280,8,280,288
Poly,42,RC-UOT-Q,38750,0.0,0.0,0.0,0.0,0.014828144472738442,1.0,0.02884626049518306,1.0,807.2916666666666,38462,288,0,38750
Poly,42,Threshold-MM,5260,0.0,0.0,0.0,0.0,0.06618271910792556,1.0,0.12226754946849809,1.0,109.58333333333333,4972,288,0,5260
