bridge,method,threshold,precision,recall,full_set_f1,coverage,abstention,n_predicted
Celer,RC-UOT-Q,0.0,0.5233,0.5233,0.5233,1.0,0.0,2079
Celer,RC-UOT-Q,0.1,0.7978,0.3151,0.4517,0.3949,0.6051,821
Celer,RC-UOT-Q,0.25,0.7812,0.0361,0.069,0.0462,0.9538,96
Celer,RC-UOT-Q,0.5,0.84,0.0101,0.02,0.012,0.988,25
Celer,RC-UOT-Q,0.75,0.8333,0.0048,0.0096,0.0058,0.9942,12
Celer,RC-UOT-Q,0.9,1.0,0.0038,0.0077,0.0038,0.9962,8
Celer,RC-UOT-Q,0.95,1.0,0.0038,0.0077,0.0038,0.9962,8
Celer,RC-UOT-Q,0.99,1.0,0.0024,0.0048,0.0024,0.9976,5
Multi,RC-UOT-Q,0.0,0.045,0.045,0.045,1.0,0.0,2444
Multi,RC-UOT-Q,0.1,0.0449,0.0442,0.0445,0.984,0.016,2405
Multi,RC-UOT-Q,0.25,0.0467,0.0385,0.0422,0.8232,0.1768,2012
Multi,RC-UOT-Q,0.5,0.2008,0.0196,0.0358,0.0978,0.9022,239
Multi,RC-UOT-Q,0.75,0.3158,0.0049,0.0097,0.0155,0.9845,38
Multi,RC-UOT-Q,0.9,0.5833,0.0029,0.0057,0.0049,0.9951,12
Multi,RC-UOT-Q,0.95,0.8,0.0016,0.0033,0.002,0.998,5
Multi,RC-UOT-Q,0.99,0.0,0.0,0.0,0.0,1.0,0
Poly,RC-UOT-Q,0.0,0.8221,0.8166,0.8193,0.9933,0.0067,1619
Poly,RC-UOT-Q,0.1,0.8308,0.8043,0.8173,0.9681,0.0319,1578
Poly,RC-UOT-Q,0.25,0.8334,0.8043,0.8186,0.965,0.035,1573
Poly,RC-UOT-Q,0.5,0.8893,0.7834,0.833,0.881,0.119,1436
Poly,RC-UOT-Q,0.75,0.9513,0.6957,0.8037,0.7313,0.2687,1192
Poly,RC-UOT-Q,0.9,0.984,0.6043,0.7488,0.6141,0.3859,1001
Poly,RC-UOT-Q,0.95,0.0,0.0,0.0,0.0025,0.9975,4
Poly,RC-UOT-Q,0.99,0.0,0.0,0.0,0.0,1.0,0
