bridge,method,n_templates_per_seed,split_exact_mean,split_exact_std,split_exact_ci95_lo,split_exact_ci95_hi,split_exact_n_seeds,merge_exact_mean,merge_exact_std,merge_exact_ci95_lo,merge_exact_ci95_hi,merge_exact_n_seeds,edge_precision_mean,edge_precision_std,edge_precision_ci95_lo,edge_precision_ci95_hi,edge_precision_n_seeds,edge_recall_mean,edge_recall_std,edge_recall_ci95_lo,edge_recall_ci95_hi,edge_recall_n_seeds,edge_f1_mean,edge_f1_std,edge_f1_ci95_lo,edge_f1_ci95_hi,edge_f1_n_seeds,coverage_mean,coverage_std,coverage_ci95_lo,coverage_ci95_hi,coverage_n_seeds,deg_acc_split_mean,deg_acc_split_std,deg_acc_merge_mean,deg_acc_merge_std,degree_acc_mean,degree_acc_std,fp_edges_mean,fp_edges_std,fp_edges_ci95_lo,fp_edges_ci95_hi,n_pred_edges_mean,n_pred_edges_std,split_exact_hier_ci95_lo,split_exact_hier_ci95_hi,merge_exact_hier_ci95_lo,merge_exact_hier_ci95_hi,edge_f1_hier_ci95_lo,edge_f1_hier_ci95_hi
Celer,ABCTracer-style,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.026388888888888885,0.007200153247683236,0.02083333333333333,0.03194444444444444,5,0.026388888888888885,0.007200153247683236,0.02083333333333333,0.03194444444444444,5,0.026388888888888885,0.007200153247683236,0.02083333333333333,0.03194444444444444,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,5.841666666666667,0.043200919486099255,5.808333333333334,5.875,6.0,0.0,0.0,0.0,0.0,0.0,0.015260416666666665,0.03960069444444435
Celer,Balanced-OT,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.01589739452752555,0.0024900767544526335,0.014115778074406731,0.01774065205438447,5,0.9680555555555556,0.036284306882258685,0.9374652777777779,0.9930555555555556,5,0.029649615487524837,0.004790462627653959,0.026399720209518612,0.033648212269657446,5,0.9808333333333333,0.032489314482696575,0.9508333333333333,1.0,5,0.0,0.0,0.004166666666666667,0.009316949906249124,0.0020833333333333333,0.04564354645876383,680.7583333333333,128.852633714945,594.6083333333333,787.4833333333333,686.5666666666666,128.92796357527203,0.0,0.0,0.0,0.0,0.023953651370756966,0.0361549795608697
Celer,Connector-style,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.026388888888888885,0.007200153247683236,0.02083333333333333,0.03194444444444444,5,0.026388888888888885,0.007200153247683236,0.02083333333333333,0.03194444444444444,5,0.026388888888888885,0.007200153247683236,0.02083333333333333,0.03194444444444444,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,5.841666666666667,0.043200919486099255,5.808333333333334,5.875,6.0,0.0,0.0,0.0,0.0,0.0,0.015260416666666665,0.03960069444444435
Celer,RC-UOT-Q,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.022115094105166343,0.0053676593713707504,0.01841691383556895,0.026637479496956183,5,0.961111111111111,0.0345830544388576,0.9305555555555556,0.9833333333333334,5,0.040406673874168526,0.008986058277603041,0.03417907665233741,0.047754352344665026,5,0.9733333333333333,0.032622631885105655,0.9433333333333334,0.9925,5,0.0,0.0,0.004166666666666667,0.009316949906249124,0.0020833333333333333,0.04564354645876384,539.0,135.3292185591616,447.3166666666666,647.5583333333333,544.7666666666667,135.47011317076544,0.0,0.0,0.0,0.0,0.0315400978324633,0.05048939397335402
Celer,Threshold-MM,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0943804834449844,0.00877912111550905,0.0874808176846106,0.10095777454398122,5,0.9708333333333332,0.005810139073153283,0.9666666666666666,0.975,5,0.168306846809732,0.015515947716652333,0.1562968351486398,0.17991526513655673,5,0.9966666666666667,0.0045643546458763685,0.9933333333333334,1.0,5,0.008333333333333333,0.01141088661469096,0.0,0.0,0.004166666666666667,0.0644823075646777,67.65833333333333,9.731169494065046,60.85,75.84166666666667,73.48333333333333,9.724932162002753,0.0,0.0,0.0,0.0,0.15391761333807502,0.18191420468005098
Multi,ABCTracer-style,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.03402777777777776,0.006211299937499413,0.029166666666666653,0.038888888888888876,5,0.03402777777777776,0.006211299937499413,0.029166666666666653,0.038888888888888876,5,0.03402777777777776,0.006211299937499413,0.029166666666666653,0.038888888888888876,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,5.7958333333333325,0.03726779962499639,5.766666666666667,5.824999999999999,6.0,0.0,0.0,0.0,0.0,0.0,0.02499999999999999,0.04374999999999998
Multi,Balanced-OT,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.009481029577566658,0.0028097637915882683,0.007392374737474651,0.011684412063640064,5,0.9944444444444445,0.00760725774312728,0.9888888888888889,1.0,5,0.017937283652752566,0.004911501595819217,0.014417966694414447,0.02178676892331464,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1069.5666666666666,142.37442261613486,940.3731250000001,1158.6666666666665,1075.5333333333333,142.40284029334217,0.0,0.0,0.0,0.0,0.013116300689627217,0.024016757087088704
Multi,Connector-style,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multi,RC-UOT-Q,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.014764585151223492,0.0044838811117276925,0.011344594216712753,0.01807755179353209,5,0.9833333333333332,0.020006750404011044,0.9666666666666666,0.9972222222222221,5,0.02731255783881544,0.00768692991963096,0.02147561836671617,0.03294189042541633,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,925.4,140.71859416244732,804.0666666666666,1020.9083333333332,931.3,140.83011399180376,0.0,0.0,0.0,0.0,0.01943465016630633,0.036092614250627306
Multi,Threshold-MM,48,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0752767967520235,0.005361690456226608,0.07136198010966063,0.07954155264569285,5,0.8444444444444444,0.030110393595387225,0.8222222222222222,0.8695138888888885,5,0.13644333727023125,0.009422381024689702,0.12931359564994618,0.144101636720477,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,70.98333333333332,2.8967474576381913,69.09791666666666,73.51666666666667,76.05,2.770974307190727,0.0,0.0,0.0,0.0,0.12526991119990813,0.1475432516923934
