bridge,method,seed,split_recovery,merge_recovery,split_recovery_recalc,merge_recovery_recalc,n_templates
Celer,RC-UOT-Q,42,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,48
Celer,RC-UOT-Q,43,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,48
Celer,RC-UOT-Q,44,0.9583333333333334,1.0,0.9583333333333334,1.0,48
Celer,RC-UOT-Q,45,0.9791666666666666,1.0,0.9791666666666666,1.0,48
Celer,RC-UOT-Q,46,0.9583333333333334,0.9791666666666666,0.9583333333333334,0.9791666666666666,48
Multi,RC-UOT-Q,42,0.9166666666666666,0.9375,0.9166666666666666,0.9375,48
Multi,RC-UOT-Q,43,0.9583333333333334,0.9791666666666666,0.9583333333333334,0.9791666666666666,48
Multi,RC-UOT-Q,44,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,48
Multi,RC-UOT-Q,45,1.0,1.0,1.0,1.0,48
Multi,RC-UOT-Q,46,1.0,1.0,1.0,1.0,48
Poly,RC-UOT-Q,42,1.0,1.0,1.0,1.0,48
Poly,RC-UOT-Q,43,1.0,1.0,1.0,1.0,48
Poly,RC-UOT-Q,44,1.0,1.0,1.0,1.0,48
Poly,RC-UOT-Q,45,1.0,1.0,1.0,1.0,48
Poly,RC-UOT-Q,46,1.0,1.0,1.0,1.0,48
