bridge,method,n_total,n_predicted,precision,recall,full_set_f1,coverage,abstention,candidate_pool_recall,window_h,threshold,weight_preset

Celer,RC-UOT-Q,2079,2079,0.5233285233285233,0.5233285233285233,0.5233285233285233,1.0,0.0,0.9971139971139971,24.0,0.0,amount_time

Celer,Connector-style adapted,2079,995,1.0,0.4785954785954786,0.6473649967469095,0.4785954785954786,0.5214045214045214,0.9971139971139971,6.0,0.0,

Celer,ABCTracer-style adapted,2079,2079,0.9807599807599807,0.9807599807599807,0.9807599807599807,1.0,0.0,0.9971139971139971,6.0,,

Multi,RC-UOT-Q,2444,38,0.3157894736842105,0.004909983633387889,0.009669621273166801,0.015548281505728314,0.9844517184942717,1.0,3.0,0.75,amount_time

Multi,Connector-style adapted,2444,2373,0.9928360724820902,0.9639934533551555,0.978202200539755,0.970949263502455,0.02905073649754497,1.0,6.0,0.0,

Multi,ABCTracer-style adapted,2444,2444,0.9590834697217676,0.9590834697217676,0.9590834697217676,1.0,0.0,1.0,1.0,,

Poly,RC-UOT-Q,1630,1436,0.8892757660167131,0.7834355828220859,0.8330071754729289,0.8809815950920246,0.11901840490797544,1.0,1.0,0.5,amount_time

Poly,Connector-style adapted,1630,1628,0.9987714987714987,0.9975460122699387,0.9981583793738489,0.9987730061349693,0.0012269938650306678,1.0,24.0,0.0,

Poly,ABCTracer-style adapted,1630,1630,0.9975460122699387,0.9975460122699387,0.9975460122699387,1.0,0.0,1.0,24.0,,

