grid,n,m,arm,repeat,status,wall_s,peak_rss_mb,n_edges,solver
FULL,288,288,EC_UOT_Q,1,OK,3.1788,324.949,1187,"{""converged"": true, ""final_err"": 8.701809400314685e-12, ""n_iter"": null}"
FULL,288,288,EC_UOT_Q,2,OK,3.1661,325.379,1187,"{""converged"": true, ""final_err"": 8.701809400314685e-12, ""n_iter"": null}"
FULL,288,288,EC_UOT_Q,3,OK,3.3279,325.27,1187,"{""converged"": true, ""final_err"": 8.701809400314685e-12, ""n_iter"": null}"
FULL,288,288,EC_UOT_Q,median,MEDIAN,3.1788,325.27,1187,
FULL,288,288,BALANCED_OT,1,OK,11.2248,324.805,1147,"{""converged"": true, ""final_err"": 9.927057371620964e-12}"
FULL,288,288,BALANCED_OT,2,OK,10.6035,325.371,1147,"{""converged"": true, ""final_err"": 9.927057371620964e-12}"
FULL,288,288,BALANCED_OT,3,OK,10.8492,325.289,1147,"{""converged"": true, ""final_err"": 9.927057371620964e-12}"
FULL,288,288,BALANCED_OT,median,MEDIAN,10.8492,325.289,1147,
FULL,288,288,THRESHOLD_MM,1,OK,0.0043,35.988,3180,{}
FULL,288,288,THRESHOLD_MM,2,OK,0.0039,35.934,3180,{}
FULL,288,288,THRESHOLD_MM,3,OK,0.0039,35.934,3180,{}
FULL,288,288,THRESHOLD_MM,median,MEDIAN,0.0039,35.934,3180,
FULL,288,288,ONETOONE_CTRL,1,OK,0.0019,35.605,288,{}
FULL,288,288,ONETOONE_CTRL,2,OK,0.0019,35.641,288,{}
FULL,288,288,ONETOONE_CTRL,3,OK,0.0018,35.672,288,{}
FULL,288,288,ONETOONE_CTRL,median,MEDIAN,0.0019,35.641,288,
50x50,50,50,EC_UOT_Q,1,OK,3.1863,319.938,143,"{""converged"": true, ""final_err"": 9.668275058338882e-12, ""n_iter"": null}"
50x50,50,50,EC_UOT_Q,2,OK,3.053,319.699,143,"{""converged"": true, ""final_err"": 9.668275058338882e-12, ""n_iter"": null}"
50x50,50,50,EC_UOT_Q,3,OK,3.0244,320.18,143,"{""converged"": true, ""final_err"": 9.668275058338882e-12, ""n_iter"": null}"
50x50,50,50,EC_UOT_Q,median,MEDIAN,3.053,319.938,143,
50x50,50,50,BALANCED_OT,1,OK,3.1378,319.395,141,"{""converged"": true, ""final_err"": 2.4075276078819364e-12}"
50x50,50,50,BALANCED_OT,2,OK,3.1591,319.109,141,"{""converged"": true, ""final_err"": 2.4075276078819364e-12}"
